Unnamed: 0,qid,video_id,question_type,capability,question,duration,question_prompt,answer,youtube_url,breakdown
13,0016-3,4mKxze5P9gQ,Wrongly-led Open-ended Question,Element Attributes (Optical Illusion),Is the person facing forward because of the symmetry of the shoulders?,15.06,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/4mKxze5P9gQ,"```python
[
    'What is the position of the person in relation to the camera?',
    'What is the appearance of the shoulders of the person?',
    'Is there any visible asymmetry in the shoulders?',
    'What is the overall posture of the person?',
    'Are there any other visual cues indicating the direction the person is facing?'
]
```"
14,0016-7,4mKxze5P9gQ,Multiple-choice Question with a Single Correct Answer,Element Attributes (Optical Illusion),"Which direction is the person facing?
A. To the right
B. right and forward
C. left and forward
D. To the left",15.06,"E. None of the above
Select one best answer to the above multiple-choice question based on the video. Respond with only the letter (A, B, C, D or E) of the correct option.",,https://www.youtube.com/shorts/4mKxze5P9gQ,"```python
[
    'What is the position of the person in the video?',
    'What are the visual cues indicating the direction the person is facing?',
    'Are there any objects or landmarks in the video that can help determine the direction?',
    'Is there any movement or action from the person that indicates their orientation?'
]
```"
15,0036-0,1SiTuYb506o,Primary Open-ended Question,Objective Causality (Videography Phenomenon & Illusion),Why can the apparently slow spinning machine cut the zucchini so thinly?,18.01,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/1SiTuYb506o,"```python
[
    'What is the appearance and speed of the spinning machine?',
    'What is the mechanism of the spinning machine?',
    'How does the spinning machine interact with the zucchini?',
    'What are the characteristics of the cuts made by the machine?',
    'What factors contribute to the thinness of the zucchini slices?'
]
```"
16,0036-1,1SiTuYb506o,Paraphrased Open-ended Question,Objective Causality (Videography Phenomenon & Illusion),How does the machine manage to slice the zucchini so thinly despite appearing to spin slowly?,18.01,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/1SiTuYb506o,"```python
[
    'What is the design of the machine used for slicing the zucchini?',
    'How does the slicing mechanism of the machine work?',
    'What is the speed of the blade or cutting element in the machine?',
    'What is the relationship between the machine’s spinning speed and the thickness of the slices?',
    'Are there any specific features of the machine that enhance its slicing capability?',
    'What materials are used in the construction of the machine that may affect its performance?'
]
```"
17,0036-2,1SiTuYb506o,Correctly-led Open-ended Question,Objective Causality (Videography Phenomenon & Illusion),"Is the reason the machine cuts the zucchini so thinly because the blades are spinning at a high speed, creating a stroboscopic effect?",18.01,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/1SiTuYb506o,"```python
[
    'What is the speed of the blades in the machine?',
    'What is the thickness of the zucchini slices produced by the machine?',
    'What is a stroboscopic effect and how does it relate to high-speed motion?',
    'Are there any visual indicators of the blades spinning at high speed?',
    'Is there any evidence or explanation provided in the image that connects blade speed to slice thickness?'
]
```"
18,0036-3,1SiTuYb506o,Wrongly-led Open-ended Question,Objective Causality (Videography Phenomenon & Illusion),"Is the machine able to cut the zucchini thinly because of the sharpness of the blade, even at a slower speed?",18.01,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/1SiTuYb506o,"```python
[
    'What is the sharpness of the blade on the machine?',
    'What is the speed of the machine when cutting the zucchini?',
    'How thinly can the machine cut the zucchini?',
    'Is there a relationship between the sharpness of the blade and the thickness of the cut?',
    'Does the machine have any other features that affect cutting performance?'
]
```"
19,0036-7,1SiTuYb506o,Multiple-choice Question with a Single Correct Answer,Objective Causality (Videography Phenomenon & Illusion),"Why can the machine cut the zucchini so thinly?
A. The blades spin at high speed, and the stroboscopic effect makes it appear slow.
B. The machine uses a laser to cut.
C. The zucchini is fed consistently and controlled.
D. The blade is sharp enough to cut at a slower speed.",18.01,"E. None of the above
Select one best answer to the above multiple-choice question based on the video. Respond with only the letter (A, B, C, D or E) of the correct option.",,https://www.youtube.com/shorts/1SiTuYb506o,"```python
[
    ""What method does the machine use to cut the zucchini?"",
    ""How does the speed of the blades affect the cutting process?"",
    ""Is there any technology, like lasers, involved in the cutting?"",
    ""How is the zucchini fed into the machine?"",
    ""What is the sharpness of the blade used in the machine?"",
    ""Are there any visual cues in the video that indicate the effectiveness of the cutting?""
]
```"
20,0037-0,KyyDh9NP_lc,Primary Open-ended Question,Element Attributes (Optical Illusion),How many parts of the video have been artificially edited?,19.55,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/KyyDh9NP_lc,"```python
[
    'How many distinct parts of the video are visible?',
    'What visual indicators suggest that a part of the video has been edited?',
    'Can you identify the specific sections of the video that appear to be edited?',
    'What is the nature of the edits made to the identified parts?',
    'Is there any noticeable difference in quality or continuity in the edited parts compared to the unedited parts?'
]
```"
21,0037-1,KyyDh9NP_lc,Paraphrased Open-ended Question,Element Attributes (Optical Illusion),In how many sections does the video show signs of artificial editing?,19.55,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/KyyDh9NP_lc,"```python
[
    'How many distinct sections are present in the video?',
    'What visual indicators suggest artificial editing in each section?',
    'Can you identify the specific sections that show signs of artificial editing?',
    'What are the characteristics of the sections that exhibit artificial editing?',
    'Is there a pattern or commonality in the sections that show artificial editing?'
]
```"
22,0037-2,KyyDh9NP_lc,Correctly-led Open-ended Question,Element Attributes (Optical Illusion),Is the video edited in multiple parts to create the effect of video game glitches?,19.55,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/KyyDh9NP_lc,"```python
[
    'How many distinct segments or parts are present in the video?',
    'Are there noticeable transitions or cuts between these segments?',
    'What visual effects are used in the video that resemble video game glitches?',
    'Is there any repetition or looping of certain segments in the video?',
    'Are there any overlays or additional graphics that contribute to the glitch effect?',
    'What is the overall pacing and rhythm of the video, and does it change between segments?'
]
```"
23,0037-3,KyyDh9NP_lc,Wrongly-led Open-ended Question,Element Attributes (Optical Illusion),Is the video edited only in one part to create the effect of video game glitches?,19.55,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/KyyDh9NP_lc,"```python
[
    'What parts of the video show the effect of video game glitches?',
    'Are there any transitions or cuts in the video that indicate editing?',
    'Is there a consistent style or pattern in the glitches throughout the video?',
    'Are there any other effects present in the video besides the glitches?',
    'What is the overall flow of the video, and how do the glitches fit into it?'
]
```"
24,0037-7,KyyDh9NP_lc,Multiple-choice Question with a Single Correct Answer,Element Attributes (Optical Illusion),"How many parts of the video have been artificially edited?
A. Five
B. One
C. None
D. Two",19.55,"E. None of the above
Select one best answer to the above multiple-choice question based on the video. Respond with only the letter (A, B, C, D or E) of the correct option.",,https://www.youtube.com/shorts/KyyDh9NP_lc,"```python
[
    'How many distinct parts of the video are visible?',
    'Are there any noticeable edits in the video?',
    'What are the characteristics of the edited parts?',
    'How can the edited parts be identified?',
    'Is there a part of the video that appears unedited?',
    'Are there any visual cues indicating artificial editing?'
]
```"
25,0038-0,sj81PWrerDk,Primary Open-ended Question,Professional Knowledge,Why was the last person able to snap off the cap so easily?,8.85,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/sj81PWrerDk,"```python
[
    'What is the condition of the cap before the last person attempts to snap it off?',
    'What tools or methods does the last person use to snap off the cap?',
    'What is the physical state of the last person (e.g., strength, technique)?',
    'Are there any visible signs of wear or damage on the cap that might affect its removal?',
    'What are the actions of the last person compared to the previous individuals who attempted to remove the cap?'
]
```"
26,0038-1,sj81PWrerDk,Paraphrased Open-ended Question,Professional Knowledge,What was the reason that the last person was able to break off the bottle cap so easily?,8.85,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/sj81PWrerDk,"```python
[
    'What is the condition of the bottle cap before the last person attempts to break it off?',
    'What tools or methods does the last person use to break off the bottle cap?',
    'What is the physical strength or technique of the last person compared to others?',
    'Were there any specific circumstances or factors that made it easier for the last person?',
    'What are the characteristics of the bottle itself that might affect the ease of removing the cap?'
]
```"
27,0038-2,sj81PWrerDk,Correctly-led Open-ended Question,Professional Knowledge,Did the last person successfully break the bottle?,8.85,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/sj81PWrerDk,"```python
[
    'What is the position of the last person in relation to the bottle?',
    'What actions is the last person taking towards the bottle?',
    'What is the state of the bottle before and after the last person interacts with it?',
    'Are there any visible signs of the bottle being broken or intact?',
    'What are the reactions of other people present regarding the last person\'s action?'
]
```"
28,0038-3,sj81PWrerDk,Wrongly-led Open-ended Question,Professional Knowledge,Did the last person use a lighter as a lever to snap off the cap easily?,8.85,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/sj81PWrerDk,"```python
[
    'Is the last person using a lighter in the image?',
    'What is the position of the lighter in relation to the cap?',
    'Is the cap being snapped off in the image?',
    'What is the angle or leverage being applied by the lighter?',
    'Are there any visible signs that the cap is being removed easily?',
    'What is the expression or body language of the last person while using the lighter?'
]
```"
29,0038-7,sj81PWrerDk,Multiple-choice Question with a Single Correct Answer,Professional Knowledge,"How did the last person snap off the cap so easily?
A. They used a knife to create leverage.
B. They had a knife hidden in their sleeve, which they used to cut the cap off.
C. They made a shallow cut around the bottle's mouth.
D. They were using a knife to twist and break the cap.",8.85,"E. None of the above
Select one best answer to the above multiple-choice question based on the video. Respond with only the letter (A, B, C, D or E) of the correct option.",,https://www.youtube.com/shorts/sj81PWrerDk,"```python
[
    ""What tools or objects does the last person have in their hands?"",
    ""What is the last person's technique for removing the cap?"",
    ""Is there any visible leverage being applied by the last person?"",
    ""What is the condition of the cap before it is removed?"",
    ""Are there any close-up shots of the last person's hands during the action?"",
    ""What are the actions of the last person leading up to the cap removal?"",
    ""Are there any other people in the video that might influence the last person's actions?""
]
```"
30,0064-0,sE-KTqE9Dek,Primary Open-ended Question,Objective Causality,Why did the room go dark after the stick figure character closed the door?,12.61,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/sE-KTqE9Dek,"```python
[
    ""What is the state of the room before the stick figure character closes the door?"",
    ""What happens to the light in the room when the door is closed?"",
    ""Are there any light sources in the room that could be affected by the door closing?"",
    ""What is the position of the stick figure character in relation to the door when it is closed?"",
    ""Is there any indication of a change in the environment or atmosphere when the door is closed?""
]
```"
31,0064-1,sE-KTqE9Dek,Paraphrased Open-ended Question,Objective Causality,What caused the room to become dark after the stick figure character shut the door?,12.61,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/sE-KTqE9Dek,"```python
[
    'What is the state of the room before the stick figure character shuts the door?',
    'What happens to the light source when the stick figure character shuts the door?',
    'Are there any windows or other sources of light in the room?',
    'What is the position of the stick figure character in relation to the door when it is shut?',
    'Is there any indication of a change in lighting after the door is closed?'
]
```"
32,0064-2,sE-KTqE9Dek,Correctly-led Open-ended Question,Objective Causality,"Did the room go dark because the stick figure character closed the door, causing the lamp to fall?",12.61,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/sE-KTqE9Dek,"```python
[
    'Is the door closed by the stick figure character?',
    'Is the lamp positioned in a way that it could fall when the door is closed?',
    'What is the state of the room before the door is closed?',
    'What is the state of the room after the door is closed?',
    'Is there any indication of the room going dark after the door is closed?',
    'What is the position of the lamp before and after the door is closed?'
]
```"
33,0064-3,sE-KTqE9Dek,Wrongly-led Open-ended Question,Objective Causality,Did the room go dark because the stick figure character accidentally hit the light switch when closing the door?,12.61,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/sE-KTqE9Dek,"```python
[
    'Is the light switch visible in the scene?',
    'Is the stick figure character shown interacting with the light switch?',
    'What is the position of the stick figure character in relation to the door?',
    'What is the state of the room before the door is closed?',
    'What happens to the light in the room when the door is closed?',
    'Are there any visual indicators that suggest the light switch was hit?',
    'Is there any other character or object that could have affected the light switch?'
]
```"
34,0064-7,sE-KTqE9Dek,Multiple-choice Question with a Single Correct Answer,Objective Causality,"Why did the room go dark after the stick figure character closed the door?
A. The lamp fell due to force.
B. The light switch was hit.
C. The stick figure character closed the door.
D. The stick figure character turned off the light switch.",12.61,"E. None of the above
Select one best answer to the above multiple-choice question based on the video. Respond with only the letter (A, B, C, D or E) of the correct option.",,https://www.youtube.com/shorts/sE-KTqE9Dek,"```python
[
    ""What happens to the room's lighting when the stick figure character closes the door?"",
    ""Is there a lamp present in the room, and does it fall when the door is closed?"",
    ""Is there a light switch in the room, and does it get hit when the door is closed?"",
    ""Does the stick figure character interact with the light switch before or after closing the door?"",
    ""Is there any indication that the light switch was turned off by the stick figure character?"",
    ""Are there any other factors or objects in the room that could cause the room to go dark?""
]
```"
35,0070-0,MSkL7A2yyOY,Primary Open-ended Question,Event Counting,How many times did the person in the video pour the water?,12.97,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/MSkL7A2yyOY,"```python
[
    'How many times is water being poured in the video?',
    'What is the context or purpose of pouring the water?',
    'Are there any visual indicators that show the amount of water being poured?',
    'Is there a specific person pouring the water, and how many times do they do it?',
    'Are there any interruptions or changes in the action of pouring water throughout the video?'
]
```"
36,0070-1,MSkL7A2yyOY,Paraphrased Open-ended Question,Event Counting,How many times does the person pour water in the video?,12.97,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/MSkL7A2yyOY,"```python
[
    ""How many times does the person appear to pour water in the video?"",
    ""What is the context or purpose of pouring water in the video?"",
    ""Are there any visual indicators that show the amount of water being poured?"",
    ""Is there a specific sequence of actions that the person follows while pouring water?"",
    ""Are there any interruptions or changes in the action of pouring water throughout the video?""
]
```"
37,0070-2,MSkL7A2yyOY,Correctly-led Open-ended Question,Event Counting,Did the person in the video pour the water twice?,12.97,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/MSkL7A2yyOY,"```python
[
    'How many times does the person in the video pour the water?',
    'What is the context or situation in which the water is being poured?',
    'Is there any visual indication of the water being poured more than once?',
    'Are there any interruptions or changes in the action that suggest multiple pours?'
]
```"
38,0070-3,MSkL7A2yyOY,Wrongly-led Open-ended Question,Event Counting,Did the person in the video pour the water once?,12.97,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/MSkL7A2yyOY,"```python
[
    'What actions does the person perform in the video regarding the water?',
    'How many times does the person pour the water?',
    'Is there any indication of the water being poured more than once?',
    'What is the context of the water pouring action in the video?'
]
```"
39,0070-7,MSkL7A2yyOY,Multiple-choice Question with a Single Correct Answer,Event Counting,"How many times did the person in the video pour the water?
A. Once
B. Three times
C. Four times
D. Twice",12.97,"E. None of the above
Select one best answer to the above multiple-choice question based on the video. Respond with only the letter (A, B, C, D or E) of the correct option.",,https://www.youtube.com/shorts/MSkL7A2yyOY,"```python
[
    ""How many times is water being poured in the video?"",
    ""Is the water being poured into a container or onto a surface?"",
    ""Are there any visual indicators showing the number of times water is poured?"",
    ""What is the context of the pouring action in the video?"",
    ""Are there any interruptions or pauses between the pouring actions?""
]
```"
40,0080-0,_MXxJT8Mk4k,Primary Open-ended Question,Professional Knowledge,What is the purpose of beating the balloon?,13.18,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/_MXxJT8Mk4k,"```python
[
    'What is the context in which the balloon is being beaten?',
    'What are the physical characteristics of the balloon?',
    'What are the actions being performed while beating the balloon?',
    'What are the potential outcomes of beating the balloon?',
    'Are there any specific cultural or social reasons for beating the balloon?'
]
```"
41,0080-1,_MXxJT8Mk4k,Paraphrased Open-ended Question,Professional Knowledge,Why do you need to hit the balloon in this activity?,13.18,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/_MXxJT8Mk4k,"```python
[
    'What is the purpose of hitting the balloon in this activity?',
    'What are the rules or objectives of the activity involving the balloon?',
    'What are the potential outcomes or benefits of hitting the balloon?',
    'Are there any specific techniques or methods suggested for hitting the balloon?'
]
```"
42,0080-2,_MXxJT8Mk4k,Correctly-led Open-ended Question,Professional Knowledge,Is the purpose of hitting the balloon to create a fun and interactive toy?,13.18,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/_MXxJT8Mk4k,"```python
[
    'What is the context in which the balloon is being hit?',
    'What are the characteristics of the balloon?',
    'What are the reactions of the people involved when hitting the balloon?',
    'Are there any other toys or activities present that suggest a fun and interactive purpose?',
    'What is the overall atmosphere or setting where the balloon is being used?'
]
```"
43,0080-3,_MXxJT8Mk4k,Wrongly-led Open-ended Question,Professional Knowledge,Is the purpose of hitting the balloon to make it pop loudly?,13.18,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/_MXxJT8Mk4k,"```python
[
    'What is the current state of the balloon?',
    'What actions are being taken to hit the balloon?',
    'What sounds are produced when the balloon is hit?',
    'Is there any indication that the balloon is intended to pop?',
    'What are the reactions of the people involved when the balloon is hit?'
]
```"
44,0080-7,_MXxJT8Mk4k,Multiple-choice Question with a Single Correct Answer,Professional Knowledge,"What is the purpose of beating the balloon?
A. To inflate the balloon
B. To pop it
C. To deflate it
D. To change its color",13.18,"E. None of the above
Select one best answer to the above multiple-choice question based on the video. Respond with only the letter (A, B, C, D or E) of the correct option.",,https://www.youtube.com/shorts/_MXxJT8Mk4k,"```python
[
    ""What is happening in the video regarding the balloon?"",
    ""Is the balloon being inflated in the video?"",
    ""Is the balloon being popped in the video?"",
    ""Is the balloon being deflated in the video?"",
    ""Is there any action in the video that changes the color of the balloon?"",
    ""Are there any actions in the video that do not fit the provided options?""
]
```"
45,0081-0,crJZF1-5ryE,Primary Open-ended Question,Character Motivation Causality,Why does the man put his hand on his face?,11.86,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/crJZF1-5ryE,"```python
[
    ""What is the expression on the man's face?"",
    ""What is the context or situation in which the man is putting his hand on his face?"",
    ""Are there any other people present, and what are their reactions?"",
    ""What is the man's body language or posture?"",
    ""Is there any specific object or event that the man is reacting to?""
]
```"
46,0081-1,crJZF1-5ryE,Paraphrased Open-ended Question,Character Motivation Causality,What is the reason the man covers his face with his hand?,11.86,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/crJZF1-5ryE,"```python
[
    ""What is the expression on the man's face?"",
    ""What is the context or situation in which the man is covering his face?"",
    ""Are there any visible emotions or reactions from the man?"",
    ""What is the surrounding environment or setting?"",
    ""Is there any interaction with other people that might explain his action?""
]
```"
47,0081-2,crJZF1-5ryE,Correctly-led Open-ended Question,Character Motivation Causality,Did the man cover his face to transfer the cat face filter to the girl next to him?,11.86,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/crJZF1-5ryE,"```python
[
    'Is the man covering his face in the image?',
    'Is the cat face filter visible on the man?',
    'Is the girl next to the man wearing the cat face filter?',
    'Is there any indication that the man is trying to transfer the filter to the girl?',
    'What is the position of the man relative to the girl?',
    'Are there any visual cues that suggest interaction between the man and the girl regarding the filter?'
]
```"
48,0081-3,crJZF1-5ryE,Wrongly-led Open-ended Question,Character Motivation Causality,Did the man put his hand on his face as part of a synchronized dance move?,11.86,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/crJZF1-5ryE,"```python
[
    'Is the man performing a dance move?',
    'What is the position of the man\'s hand during the dance?',
    'Are there other people dancing with the man?',
    'Is the hand on the face a common dance move in the context of the performance?',
    'Is the man\'s hand on his face synchronized with the movements of others?'
]
```"
49,0081-7,crJZF1-5ryE,Multiple-choice Question with a Single Correct Answer,Character Motivation Causality,"Why does the man put his hand on his face?
A. To adjust his glasses.
B. To hide from the camera.
C. As part of a synchronized dance move.
D. To transfer the cat face filter to the girl next to him.",11.86,"E. None of the above
Select one best answer to the above multiple-choice question based on the video. Respond with only the letter (A, B, C, D or E) of the correct option.",,https://www.youtube.com/shorts/crJZF1-5ryE,"```python
[
    ""What is the man doing with his hand?"",
    ""Is the man wearing glasses?"",
    ""Is the man trying to hide from the camera?"",
    ""Is the man performing a synchronized dance move?"",
    ""Is there a cat face filter being used in the scene?"",
    ""What is the context of the scene involving the girl next to him?""
]
```"
50,0083-0,Z-x3kXiyOFc,Primary Open-ended Question,Plot Attribute,What does the video want to tell as the daughter enters the room several times?,43.97,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/Z-x3kXiyOFc,"```python
[
    ""What are the actions of the daughter as she enters the room?"",
    ""What is the expression or demeanor of the daughter when she enters the room?"",
    ""What is the setting of the room when the daughter enters?"",
    ""Are there any other characters present in the room when the daughter enters?"",
    ""What is the reaction of other characters to the daughter's entrance?"",
    ""Is there any significant change in the environment or context each time the daughter enters?"",
    ""What visual cues or symbols are present that might indicate the video's message?""
]
```"
51,0083-1,Z-x3kXiyOFc,Paraphrased Open-ended Question,Plot Attribute,What is the message conveyed by the daughter's repeated entries into the room?,43.97,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/Z-x3kXiyOFc,"```python
[
    ""What is the daughter's behavior when she enters the room?"",
    ""How many times does the daughter enter the room?"",
    ""What is the context or situation when the daughter enters the room?"",
    ""What are the reactions of other characters in the room to the daughter's entries?"",
    ""Is there any change in the daughter's demeanor or actions with each entry?"",
    ""What is the overall atmosphere or mood in the room during the daughter's entries?""
]
```"
52,0083-2,Z-x3kXiyOFc,Correctly-led Open-ended Question,Plot Attribute,Is the daughter trying to uncover her mother's true feelings about the pet dog by entering the room multiple times?,43.97,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/Z-x3kXiyOFc,"```python
[
    'What is the daughter doing when she enters the room?',
    'What are the expressions or body language of the mother when the daughter enters?',
    'Is there any interaction between the daughter and the mother regarding the pet dog?',
    'What is the context of the daughter entering the room multiple times?',
    'Are there any changes in the mother’s demeanor or feelings about the pet dog during these entries?'
]
```"
53,0083-3,Z-x3kXiyOFc,Wrongly-led Open-ended Question,Plot Attribute,"Does the video show the daughter repeatedly entering the room to announce the pet dog, highlighting cultural differences?",43.97,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/Z-x3kXiyOFc,"```python
[
    'What actions does the daughter take when entering the room?',
    'What is the reaction of the other people in the room when the daughter announces the pet dog?',
    'Are there any cultural elements depicted in the daughter's actions or the reactions of others?',
    'How many times does the daughter enter the room?',
    'What specific phrases or words does the daughter use to announce the pet dog?',
    'What is the context of the setting (e.g., cultural background, family dynamics)?'
]
```"
