video_name,question,answer
v_CTJej0rZMiI,Can you describe the video in detail?,"The video shows a man wearing a grey shirt, sitting in a dimly lit room with an accordion strapped to him. He is seated next to a wall that has framed Spanish sayings on it, and there is a bookshelf visible behind him. To his right is a door frame. The man briefly speaks before starting to play the accordion, and the video continues to show him playing until he finishes."
v_rc-DiL5er28,What are the colors of the t-shirts worn by the two dodgeball teams?,The team on the right is wearing blue t-shirts and the team on the left is wearing yellow t-shirts.
v_ijrjRNwZjqQ,What do the two men do after speaking?,They walk over to the other side of the stage.
v_5tFfEA1JWjA,Can you describe the video content in detail?,"In this video, there are two people standing on an indoor basketball court, with many frames hanging on the far wall. One of the individuals is a boy holding a basketball and the other is his coach. The coach appears to be instructing the boy as he proceeds to dunk the ball through the basket. The boy catches the ball as it comes through the basket and continuously dunks the ball by jumping high. He successfully dunks the ball from either side of the basket while jumping. Overall, the video captures a coach and his student practicing and perfecting their dunking skills on a basketball court."
v_rpjxjU-mLiw,Can you describe the video in detail?,"In the video, a man wearing a teal T-shirt and black shorts can be seen walking into a throwing circle that is surrounded by a practice net. The man seems to be preparing for a discus throw as he spins a few times before throwing the discus. This occurs in an outdoor field during the daytime. While the man is preparing for his throw, a person wearing a yellow shirt can be seen jogging on the track behind the practice net. After the man successfully throws his discus, he walks towards the camera and claps his hands."
v_lU6DMCif3eE,What is the man in the video doing and where is he located?,The man in the video is wearing a black T-shirt and playing the bagpipe. He is located in a dimly lit room with posters with text and art.
v_6Xsfwn5M6qs,Can you describe the video in detail?,"In the video, a man in black shorts and t-shirt is seen in a gym with two other people, one wearing a green shirt and another in white sportswear. The man jumps onto the parallel bar and begins his first routine by performing a handstand and swinging from the bars while holding on to both of them with his hands. He completes several maneuvers and finishes with a backflip, landing on a foam mat on the ground. In the next clip, he starts a new routine with another handstand and swinging routine. He then holds a position with his legs parallel to the ground while holding himself up from the bars and performs another handstand, followed by turning using one hand on the bar. He completes several backswings, but fails to stick the landing. He smiles at the camera as the video ends. There are other people visible in the gym, standing to the back and right of the man, throughout the video."
v_x90zpDHTpjQ,What is the man saying towards the end of the video?,The man walks towards the camera and speaks before the video ends.
v_kPn9NzU4W48,What happens in the video?,"In the video, two teens named John and Tyler take a boxing stance and spar in a basketball court. They start with kicks and proceed to punches, moving around the court while kickboxing. The video ends with Tyler pushing John back."
v_uCvjzcVCtEs,Can you describe the video content in detail?,"The video features a male athlete who is about to perform a long jump. The athlete is wearing a blue vest, black shorts, and red sports shoes. He is surrounded by other male athletes who are standing beside him in a stadium. Additionally, there are some female athletes walking on the track behind him. The stadium has a grassy field in the center and a running track around it. The seats in the stadium are orange and black and many trees can be seen outside the stadium. As he starts running on the track, the athlete moves both his hands forward and jumps on the sandy area. The video ends with people measuring the distance he jumped."
v_afMQA352X_A,What is happening in the video?,"The video shows two men kickboxing in a park, with one man wearing boxing gloves and the other wearing a camo gi and focus mitts. They are practicing various punches and kicks while the trainer guides them and counts the moves. There are also people walking and sitting in the background of the park."
v_KvtqF0LaWU0,Can you describe in detail what happens in the video?,"The video begins with a credit roll and depicts a girl wearing glasses and a red outfit standing behind a black stone kitchen counter attempting to open a jar. There is a wooden cutting board and a steel bowl on the counter along with shelves visible to the right and back of the girl holding different condiments. A woman wearing a sweater eventually joins her next to the counter as the girl holds up various ingredients to the camera before proceeding to chop cherry tomatoes and adding basil paste and sprinkles some contents from a bottle into the bowl. A man wearing a white shirt later walks next to the girl, tastes some of the mixture with a spoon, and proceeds to speak to the camera. The video ends with a list of ingredients used."
v_JDwd6Ec454A,What is the rabbit doing at the beginning of the video?,"At the start of the video, the rabbit is grooming himself."
v_HxrtuZSCwvY,Can you describe the scene of the boy playing the violin in the living room?,"In the dimly lit living room, a boy wearing a sweater vest is standing while holding a violin. He is accompanied by people sitting on chairs next to him and there is a painting on the wall behind him. A man wearing a black shirt can be seen sitting under the painting and windows are visible through an open door behind the boy. The boy starts playing the violin and continues until the end of the video when the audience applauds."
v_e3DB_y78IHc,What animals can be seen grazing in the video's final shots?,"In the video's final shots, ostriches, alpacas, and camels can be seen grazing one after another."
v_9ZVWD0ZKXZg,What safety equipment is the boy wearing while climbing?,The boy is wearing a harness and a belay rope is fastened to him.
v_A904-cbaYDw,Can you describe the video content in detail?,"The video is titled ""Slant Flying"" and starts with the text appearing on a black background. The scene then transitions to a man wearing all-black clothing standing on a sunny lawn with trees and other plants in the background. He begins to demonstrate a tai chi practice by showing each stance and instructing on the proper hand and leg positions. He showcases the leg and hand positions by physically demonstrating them himself. The video continues with the man instructing on different hand and leg positions for the duration until the video ends."
v_9VtxNvLx6zA,Who serves the ball first?,The girl holding the volleyball serves the ball first.
v_CecqF_uHeOI,What items does the man use to wipe the glass door?,The man wipes the glass door with a wiper and a blue towel.
v_TZOhIMjwEE8,Can you describe the video in detail?,"The video starts with a woman wearing a white vest, grey trousers, and white sports shoes who is lawn-mowing on a sunny day. She is mowing the lawn by moving the lawnmower and making turns, leaving some grass on the sidewalks. There are small trees on the green lawn, which is surrounded by wooden walls and a small shed outside. A white dog is also present on the lawn. In front of the woman, there is a house with some chairs, a table, and an umbrella. Throughout the video, the woman continues to move the lawnmower across the lawn and at the end, she gives the cameraman a thumbs up."
v_skk-nX55gvA,Who is shown scoring a goal in slow motion?,The person in the white cap identified as Justin Harrison is shown scoring a goal in slow motion.
v_QOsG3BeQeX0,Can you describe the video in detail?,"In the video, a man wearing a blue shirt and khaki shorts can be seen swinging back and forth, while upside down from the bottom of the parallel bars. The gymnasium where the activity takes place is well-lit with cushioned mats placed on either side of the parallel bars for safety. The man then manages to righten himself and goes back to the previous position. Overall, the video captures a cool display of body strength and balance."
v_Fb4X1PWfOvY,What is the woman wearing while exercising on the parallel bars?,"The woman is wearing a neon green T-shirt, black track pants with white stripes, and white sports shoes. She is also wearing glasses and a ring on her left hand."
v_4iFlM_Zu7xs,Can you describe the dirt bike video in detail?,"The video begins on a dirt bike track with a rider jumping over an incline on his bike, with white flat-top buildings visible in the far background. Another scene shows a different biker jumping over another dirt incline. The video continues with a series of stunts performed by two riders taking turns, riding and jumping on the dirt track in a circle. A person holding a camera in the middle of the track can be seen recording the riders. The riders perform a sequence of jumps one after another in a clip. The video ends with the two bikers jumping over a hill one after the other. Overall, the video showcases different stunts and jumps performed by dirt bikers in a track."
v_TB5AeIdAndA,Can you describe the video in detail?,"The video shows a man wearing a blue jacket and jeans sitting on the ground while playing a guitar during the daytime. He is sitting on a sidewalk next to a lawn, and there is an empty can placed next to him and between his crossed legs. While playing the guitar, he sings a song until he finishes it. Despite the lack of additional background information, the video provides a simple yet serene and calming scene of a musician showcasing his talent in a relaxed outdoor setting."
v_1xBdquA6dx8,Which team is wearing blue in the video?,One of the teams in the video is wearing blue jerseys.
v_YU-dUWGOoD4,What is the gymnast wearing in the video?,The gymnast is wearing a white vest and red pants.
v_JDwd6Ec454A,What is the color of the rabbit in the video?,The rabbit has a reddish coat with dark brown highlights.
v_QriYk3MKSnM,What is happening in the video?,Two girls are sitting in a dimly lit living room and combing their hair while talking to each other and the camerawoman. One girl accidentally pulls the hair of the other while combing and then the same thing happens when the other girl tries to comb her friend’s hair causing the video to end.
v_wjr5M-6qEWI,Can you describe the video in detail?,"The video shows two ping-pong players playing a game on an orange court in a well-lit arena with seats for spectators near the walls and flags of different countries hung near the rafters. A man wearing a jacket and khaki pants is sitting near the separator of the court. A referee is also present, wearing a coat and sitting behind a table at the edge of the court. The video then moves on to show matches being played in different courts, with one player shown having only one hand."
v_mMebSMn5D0E,What is the man wearing while playing the piano in the piano store?,The man is wearing a brown coat while playing the piano in the piano store.
v_zxpQHLwZCug,What is happening in the video?,"In this video, a man wearing a blue shirt and jeans is seen standing over a log and holding an axe in his left hand. He is in a yard with plants at the back, with a tree next to the fence behind and to the right of the man. The log is partially cut, and the man stops to speak before continuing to chop it. Pieces of the log fly off in different directions until the log breaks into two pieces."
v_1dDAcUliXrQ,Can you describe the video content in detail?,"The video is an indoor badminton game featuring two teams of three women each. The court has dark blue floors and walls. One of the players from the first team leaves the game briefly to pick up a purse and talks to her teammate. The remaining players keep playing, but occasionally they miss hitting the shuttle. The first team continues to play with only two players. Towards the end, one of the players from the second team misses hitting the shuttle, and the remaining players converge towards the net to talk. "
v_uCvjzcVCtEs,What is the athlete wearing in the video?,"The male athlete is wearing a blue vest, black shorts, and red sports shoes."
v_dO01vfB9z4g,What happens in the video?,"The video shows a little boy in a dark blue t-shirt scrubbing dirty dishes in a well-lit kitchen sink. He stands on a box while scrubbing the dishes and places them in an adjacent empty sink. A woman wearing a yellow top records the boy with her cellphone. After the boy finishes scrubbing all the dishes, he continues to scrub another bowl."
v_lU6DMCif3eE,What was the man wearing while playing the bagpipe in the video?,The man was wearing a black T-shirt while playing the bagpipe in a dimly lit room.
v_yttmx8mcjGw,What is the video about?,"The video is about cricket games being played in various locations, including the beach, homes, and stadiums. The video shows clips of both professional players from the Australian cricket team and regular people playing cricket. The video begins with two women sitting on the beach, followed by a man rolling up a carpet inside a house, then a woman with a cricket bat preparing to bat on the beach. The video ends with a child standing near the stumps and getting ready to bat. "
v_xS5JDBeMxOs,Can you describe the video content in detail?,"The video is shot in a public place where a group of men is sitting at a table with beers. They pull out their shoes and add beer to them, and then drink it simultaneously. The colors of their clothes are described in the video as a man in a white t-shirt and grey capris, and the other one in a yellow t-shirt, black jeans, and a yellow and black cap. The people around them are seen cheering and making videos. After drinking the beer, they raise both their hands in the air and high-five each other. The girls sitting next to them can be seen talking to the men. Towards the end of the video, the man in the white t-shirt shows some hand signs and thumps his chest."
v_l_pp-1qu9Ig,Can you describe the video of the woman wrapping a gift in detail?,"In the video, a woman's hand is seen picking up three rolls of gift wrap from a blue wooden counter next to wrapped gifts. She later lays out the gift-wrapping rolls on a light wood table and starts wrapping a brown cardboard box with one of the rolls. The video captures how she cuts the wrapping paper to fit the size of the box, tapes it shut, and carefully folds the sides and corners of the box. The woman then turns the wrapped box on every side to show the wrapping and places the box on the same counter. The background shows a tray with other gift-wrapping accessories in the corner, and throughout the video, these accessories appear on the light wood table with jump cuts."
v_Ds2O0-8Labs,What is the heaviest weight that the man lifts in the video and what does he do after lifting it?,"The heaviest weight that the man lifts in the video is a barbell of 130 kilograms. After lifting the barbell above his head, he drops it to the floor."
