video_name,answer,question
v_vska7f8Zm9s,The video takes place during the day and the man in the video is adding fresh firewood to the flame.,What time of day is it during the video?
v_jQzBXawu29s,The man is wearing a brown sweater and glasses while playing the black wooden Irish flute in a living room with a television stand behind him and various framed items hung on the wall. Sunlight is coming in from the left side at the back.,Can you describe the man and his surroundings when he plays the black wooden Irish flute?
v_18yZR3NDaXM,The video shows people playing kickball on a field.,What sport is being played in the video?
v_LzPppxSWYNY,The woman is participating in a long jump competition in the track field during the daytime.,What event is the woman participating in the video?
v_ZVjLscGMOs8,The women are wearing white vests and track pants while working out on aerobics steps in a dimly lit studio with black floor.,What are the women wearing in the video while working out?
v_kdOsmDACtqw,The man in the black outfit steps into a white sheet on the ground and starts to breakdance followed by the man in the white t-shirt who dances and interacts with the crowd.,What is the action of the man in the black outfit after the man wearing white t-shirt finishes speaking?
v_N75m1Z4RqbA,"The man is wearing a black shirt and pants, while the woman is dressed in a black outfit.",What do the man and woman wear when they dance?
v_6wPVO7I8iIY,"The bartender is making a cocktail by picking up various bottles of alcohol, adding flavoring agent, ice cubes, and stirring the mixture in a mixing glass. He then empties the cocktail glass of ice and pours the drink into it. The video shows a cutaway of the ingredients for the drink. At the end of the video, the bartender is seen wiping the bar.",Can you describe the process of making a cocktail as shown in the video?
v_0UTrTg3DF5g,"Pinky is making a cocktail called 'GIN E HENDRIX' and she uses a variety of ingredients including cucumber, lime, lemon, basil, and different bottles of alcohol visible behind her on glass shelves.",Can you name the ingredients Pinky uses to make her cocktail?
v_A20uQSBtYMs,The banner behind the men playing saxophones reads 'TWIN JAZZ'.,What is the name written on the banner behind the men playing saxophones?
v_uvglcAUnQv0,The woman is wearing a pink top and a black skirt with high heels.,Can you describe the appearance of the woman in the middle of the dance floor and her footwear?
v_XPiMnbCr-sc,The woman uses the peach-colored cloth to gift-wrap a box by folding it and tying a knot. ,What does the woman do with the peach-colored cloth?
v_zXHyFBrj5Ag,"The man in the video is wearing a striped blue and black t-shirt and shorts, and is ironing a blue and white Hawaiian shirt on an ironing board in a room with visible clothing behind him.",Can you describe the clothes worn by the man ironing in the video?
v_34ZxyyFjbHQ,One boy is wearing a blue T-shirt and the other a red T-shirt. The game gets started over when one of them misses their shot. The video ends with the two boys playing and a boy wearing a white t-shirt standing outside the court watching. It doesn’t mention which boy wins the starting-over games.,What colors are the T-shirts of the boys playing squash and who wins the starting-over games?
v_yttmx8mcjGw,"The video shows various cricket games being played, including professional matches played in stadiums as well as games played by people at homes and beaches. The video also shows a man rolling up a carpet and a woman in a yellow t-shirt getting ready to bat with others around her fielding or watching. The video ends with a child standing near the cricket stumps and getting ready to bat.",What is happening in the video?
v_Ku76zinwWkg,The girl and the boy are both wearing black outfits while running on the track.,Can you describe the outfits worn by the girl and the boy on the track?
v_ooFuSspUuVY,The girl is wearing a white helmet while riding the horse in the video.,What color is the helmet worn by the girl in the video?
v_AQnp2QAnwI0,A group of dancers perform on stage in front of a projection while silhouettes of people wearing headphones are visible in front of the stage.,Can you describe the scene in the video?
v_IgDBDaIoNAM,The man and woman are dressed like characters from the Street Fighter game.,What are the characters wearing in the video?
v_5tFfEA1JWjA,A boy is dunking the basketball while his coach watches and instructs him in an indoor basketball court with frames on the far wall.,What is happening in the video?
v_JiNcVb97CnA,The man is wearing a white t-shirt and the woman is wearing a black coat over a pink top.,Can you describe what the man and woman are wearing in the video?
v_uIcMgjypbqk,The video ends with the audience applauding and the man walking off the stage.,What happens on the stage at the end of the video?
v_UNJTM62HyqQ,"The chef is wearing a white chef's coat, and the man standing behind him is wearing a red T-shirt.",What is the chef wearing in the video?
v_e3DB_y78IHc,"The animals shown grazing towards the end of the video are ostriches, alpacas, and camels.",What are the animals shown grazing in the video at the end?
v_Hy54nZSDxTk,The people are wearing hoodies over their paintball helmets.,Can you describe the attire of the people in the paintball park?
v_5cijPqKVc84,"The video shows various types of kayaks being rowed in different water bodies including rapids, rivers, and the sea. Some have open cockpits while others are closed.",Can you describe the different types of kayaks featured in the video?
v_MxvKscpouzY,"The player on the near side is wearing a red t-shirt, while the player on the far end is wearing a blue t-shirt and shorts.",What color shirts are the players wearing in the table tennis match at the beginning of the video?
v_j_1kNiGcepU,"The harmonica player is wearing a checkered shirt and has a backpack on. The man next to him in a hoodie is standing with his hands in his pockets, bobbing his head up and down before taking out his phone to record the harmonica player.","What is the man wearing who is playing the harmonica, and what is the man next to him doing?"
v_nDHupsLdar0,The wall behind the man is cream-colored and there is a lamp visible at his back.,Can you describe the background of the man playing the harmonica?
v_UNJTM62HyqQ,"The chef is wearing a white chef's coat, and the man standing behind him is wearing a red T-shirt.",Can you describe the attire of the man standing behind the chef?
v_7gaC3b5nJqs,The women are wearing gym clothes.,What are the women wearing in the video?
v_ROrLMf0zXko,"On the street during the daytime, there are people standing around a black and white mat as a man in a white outfit is breakdancing. Stores are also lining the sidewalk.",What is happening on the street in the video?
v_9Ufy_JGbnys,The couple is doing a tango dance.,What type of dance are the couple engaged in?
v_TB5AeIdAndA,The man is wearing a blue jacket and jeans while playing the guitar on the sidewalk.,What is the man wearing while playing the guitar?
v_di5f5hM05Vw,"The man is practicing Tai Chi movements in an indoor studio with well-lit light wood flooring, a mirror covering the wall at his back, and a window covered in purple drapes visible on the right side wall.",Can you describe the indoor studio where the man is practicing Tai Chi?
v_IRua6QGP-Ow,"The bartender is making a drink by pouring and mixing different spirits, shaking them with ice, and finally pouring the mixture into a glass with ice. He also runs a lime on the rim of the glass.",What is the bartender doing in the video?
v_IhmtmKxEU40,The boy seen windsurfing is wearing an orange and black wetsuit.,What is the color of the wetsuit worn by the boy windsurfing?
v_9lAT3oA9Ixs,The man is wearing a blue jacket and blue jeans while chopping wood near a cabin in the woods.,Can you describe the man and his clothing while he chops wood near a cabin in the woods?
v_ojIhxWrBM0s,"In the first shot of the video, a man is sitting in a barber chair, looking through a magazine while draped in a cape, and surrounded by other customers in a salon.",Can you describe the scene in the first shot of the video?
v_RjztFj0Zl40,The teams are playing dodgeball on the basketball court.,What game are the teams playing on the basketball court?
v_sBwUwgTjhAU,The woman is wearing a sweater over her red outfit and looks into the camera before walking away.,What does the woman do before walking away in the video?
v_q_QR5HoROhI,The man applies black ink to the woman’s nail using a small brush before curing it and then applies glitter of different colors on the black-painted nail which is then cured under a curing lamp.,What color ink does the man apply to the woman’s nail before curing it?
v_2VZumBKJuPs,"In the video, a man is piercing the woman's belly button with a needle piercer, and inserting a jewelry before securing it with a ball. The studio is well-lit and the man has black gloves on. Both of his hands are tattooed and the woman can be seen speaking to the person holding the camera",Can you describe the process shown in the video?
v_7EeO9V2B574,The women were dancing synchronously on the grass under the shadow of a tree to music.,Can you describe the scene of the video with women dancing?
v_k1GP0cJOXbQ,"The video shows people kayaking in rapids and calm waters, with some scenes of them paddling alone and others in pairs, culminating in a group of people standing around drinking beer with the sunset in the background.",What are the different activities people engage in throughout the video?
v_QOsG3BeQeX0,The person is wearing a blue shirt and khaki shorts.,What is the clothing of the person upside down on the parallel bars?
v_afMQA352X_A,The trainer is wearing focus mitts on both hands during the kickboxing practice.,Can you describe the attire of the trainer during the kickboxing practice?
v_0DFz3sgfda0,"The girls are making a salad in the kitchen with various ingredients like lettuce, tomatoes, and peanuts.",Can you describe the activity of the girls in the kitchen?
v_1d_U_2HIPmY,The man is swinging a hammer attached to a grip by a cable while standing on a circular platform inside a cage.,What object does the man have in his hand?
v_aOxRwTlkY80,The man added garlic to the pan with oil first and then added chillies. He cooked these two for a minute and later added the cooked pasta and chopped parsley. He added ground pepper and mixed everything before finishing the dish.,Which ingredients did the man add to the pan first?
v_MbjyQGdTtK8,"The woman is demonstrating how to make furniture polish by mixing olive oil and lemon juice in a spray bottle, shaking it, and then applying it to the surface of a table.",Can you describe the steps of making the furniture polish in the video?
v_4XnXyKYxnQQ,The ship is dangerously tilted left and appears to be about to capsize in the daytime sea. ,Can you describe the position of the ship in the video?
v_5qY9yPt-5Go,"The video starts with a black French bulldog standing on a checkered red tablecloth with a cup of coffee placed in front of it. The dog goes to the cup and starts to drink the coffee, while the boy attempts to move the dog away from the cup gently.",What is happening in the beginning of the video?
v_qU4GmCN2e1Y,The man performing on the parallel bars is wearing a dark blue vest and pants.,What is the man wearing who is performing on the parallel bars?
v_Jdu5AqaWfz8,"The bungee jump platform is yellow and the inflatable boat is located to the left near the shore. Three men, with two attendants in green shirts and one jumper wearing a t-shirt and a strap, are standing on the platform during the day. One of the attendants is belaying the bungee cord. After jumping off the platform and being pulled back up, the man is slowly reeled down and drawn to the shore by two attendants.",Can you describe the scene where the men are standing at the edge of the platform?
v_u3XOLSC7lg0,"The man is wearing a black T-shirt, black pants, and black and white sneakers.",What is the man wearing while breakdancing in the hallway?
v_vAHR3iJhBXU,The woman applied pink nail polish to her ring finger.,Which nail did the woman apply pink polish to in the video?
v_9VflCeoPr9I,The people are playing and kicking a red ball in the field.,What activity are the people engaged in the video?
v_Sf27WmcLb2w,A man wearing a black sleeveless t-shirt and red shorts starts the exchange on the volleyball court by serving the ball.,Who starts the exchange on the volleyball court by serving the ball?
v_7pfHxav4b0U,The woman is rowing an orange kayak down a rapid river while wearing a life vest and white helmet.,Can you describe what the woman is wearing and what she is doing in the river?
v_4QRRxub6L5Q,The video shows a girl performing multiple backflips on a foam platform indoors while another girl watches. There is a poster of a cartoon sloth on the far wall. The video ends with the girl doing backflips and landing.,What is happening in the video with the girls and the foam platform?
v_qqZLs6j3YII,The children on the stage are wearing red and white uniforms.,Can you describe the uniforms of the children playing guitars on the stage?
v_kfO5PGlsMJw,The first boy is wearing a black karate uniform with a black belt.,What color is the karate uniform of the first boy who performs on the stage?
v_htzAYwoAZkg,"The man is wearing a black polo shirt, speaking to the camera in the gym, while the woman is standing next to him; they are both behind a resistance trainer in the well-lit gym. The woman climbs onto the resistance trainer, starts pedaling, and adjusts the instrument cluster settings, while the man continues speaking into the camera.",What is the man wearing and doing in the gym?
v_HURRgbZGz8Q,"The video shows a spear-throw competition where athletes holding spears run and throw them in an outdoor stadium filled with spectators. The landing area has numbered lanes, and a man in a suit is seen near the number 70 marker. The scoreboard with names and throw distances is shown towards the end.",Can you describe the spear-throw competition being held in the outdoor stadium?
v_TEgPIueNqTI,The woman is wearing a white top while she gets tattooed in the tattoo parlor.,What is the woman wearing while getting tattooed in the tattoo parlor?
v_IL8__uSFpqg,The man in the video is wearing a blue polo shirt.,What is the man wearing in the video?
v_TEgPIueNqTI,The woman is wearing a white top while she gets tattooed in the tattoo parlor.,Can you describe the appearance of the woman as she gets a tattoo in the parlor?
v_Ie09KEAPP2I,The labrador retriever in the video is brown.,Can you describe the appearance of the labrador retriever in the video?
v_Omvg9UtGOes,The cloth used to wrap the box is pink on the inside and green on the outside.,What colors are on the cloth used to wrap the box?
v_MWQ9mb_mB8U,The women on the volleyball court are wearing white tops with numbers on them.,Can you describe the clothing worn by the women standing on the volleyball court?
v_BmLDHLKiIdQ,The video shows an indoor archery competition with spectators seated in the stands.,Where are the archers shooting arrows in the video?
v_eoSwoeLmeyQ,The lights shining on the dance floor are not described in the given details.,What is the color of the illumination on the portion of the floor where people are dancing?
v_N4qhryre_TE,The athletes are participating in an indoor tumbling competition.,Can you describe the event the athletes are participating in?
v_KlgrI3Ngwv0,"At the beginning of the video, the athlete is standing by a pommel horse, wearing a blue outfit, and getting ready to start an artistic gymnastics routine.",Can you describe the beginning of the athlete’s routine in the video?
v_ZxPF3s_OLDo,The man is wearing a red t-shirt and a belt with a chalk pouch on it.,Could you describe the man's outfit when he is climbing?
v_N4qhryre_TE,The athletes are participating in an indoor tumbling competition.,What kind of competition is taking place in the video?
v_jQzBXawu29s,The man is wearing a brown sweater and glasses while playing the black wooden Irish flute in a living room with a television stand behind him and various framed items hung on the wall. Sunlight is coming in from the left side at the back.,What is the man wearing while playing the black wooden Irish flute in the living room?
v_Hz7-mBFGsSs,The girl is getting her hair cut in the salon while crying.,What is happening to the girl in the salon?
v_kl-2y3jtPNE,The game being played in the field is cricket.,What game is being played in the field?
v_sk_pnoqXxhs,"The video shows a toddler in a diaper brushing his teeth with the help of a woman in a white shirt, while a man in a black T-shirt films. There is also a brown dog in the bathroom.",What is happening in the video?
v_OkvWTZ4XLyM,The man is spinning the discus to build momentum before releasing it towards the landing area.,Can you describe what is happening in the video with the discus?
v_51faGoLPJgM,The boy is chopping wood next to a pile of chopped logs while wearing blue jeans and a sweater.,What is the boy doing in the beginning of the video?
v__B7rGFDRIww,"The woman is dancing to the song ""Let it Go"" from the movie ""Frozen"" and this song continues to play throughout the video while the dancers dance to it.",What song is the woman dancing to in the beginning of the video?
v_8r4bF9RF0Kc,The people in the video are playing a game of cricket at the beginning.,Can you describe the opening scene of the video?
v_KApqxr02rcQ,Jessica Skillings wears a dark blue uniform in the video.,Which player is the video following and what color jersey is she wearing?
v_MWQ9mb_mB8U,The women on the volleyball court are wearing white tops with numbers on them.,What is the color of the tops that the women on the volleyball court are wearing?
v_YOk1cMsyk88,"The skateboarder is wearing a white t-shirt, a red cap, and a backpack.",Could you describe the skateboarder's outfit in the video?
v_HURRgbZGz8Q,"The video shows a spear-throw competition where athletes holding spears run and throw them in an outdoor stadium filled with spectators. The landing area has numbered lanes, and a man in a suit is seen near the number 70 marker. The scoreboard with names and throw distances is shown towards the end.",What is happening in the outdoor stadium in the video?
v_ijrjRNwZjqQ,Kevin Spacey and Rafael Nadal play ping pong on stage.,Can you describe the game that Kevin Spacey and Rafael Nadal play on stage?
v_cH3H-arDsH4,The video shows a game of water polo being played in a swimming pool with two teams trying to score goals.,Can you describe the game being played in the video?
v_0x6ZV9Y8g_c,"In the beginning of the video, the toddler is seen wearing blue and red pajamas.",Can you describe the toddler's pajamas in the opening scene?
v_CTyvQHkAKuY,The woman starts to sing while the man is playing the piano.,What is the woman doing when the man is playing the piano?
v_bphckj0BV5U,The woman is wearing a grey top and is sitting on the ground in the woods while demonstrating how to start a fire.,Can you describe the woman in the video?
v_dRF1C_sBE5M,The man taught the girl how to chop wood using an axe.,What was the girl shown doing with the axe in the video?
v_9UvVeUYQLgA,"Cable drums, old tires, weeds, and cinderblocks are used as cover in the paintball arena.",Can you describe some of the objects used for cover in the paintball arena?
v_zRqJZ0u6f88,The man is wearing a red shirt and trousers along with a tool belt.,Can you describe the man's outfit?
v_rpjxjU-mLiw,The man is wearing a teal T-shirt and black shorts and is starting his discus throw in a throwing circle surrounded by a practice net. He then walks towards the camera and claps his hands. A person in a yellow shirt can be seen jogging on the track behind the practice net.,What is the man wearing and what is he doing?
v_zoWqv-sIdBY,"The boy's name is Ivan and he is sitting in a well-lit bedroom in front of a table with a computer on it. He is having his hair combed by Oscar, who is standing behind him.",Who is the boy with long hair in the video and where is he sitting?
v_-vnSFKJNB94,"The video shows a man named Michal Navratil performing various diving maneuvers including tucks, twists, forwards dives, etc. in an indoor swimming pool with people visible walking around. He ends the video by doing a forward tuck dive.",What is happening in the video?
v_-vnSFKJNB94,"The video shows a man named Michal Navratil performing various diving maneuvers including tucks, twists, forwards dives, etc. in an indoor swimming pool with people visible walking around. He ends the video by doing a forward tuck dive.",Can you describe the diving maneuvers performed in the video?
v_DIhyfNJAm-M,"The performer is wearing a black suit and white shirt, playing his saxophone on a stage with red floors, blue curtains and a staircase in front. The audience can be seen sitting a few feet from the staircase, while backing musicians play various instruments behind the saxophonist. A music stand with transparent top is placed next to the saxophonist, and the video ends with the audience applauding.",Can you describe the stage set up for the saxophonist performance?
v_WCS8dzRT7Xk,The woman is wearing a grey shirt and standing behind an ironing board in a well-lit room with a wood wall behind her.,What is the woman wearing and where is she standing?
v__ja1fre9OTE,The gymnast is performing on a balance beam located on an elevated platform at a gymnastics competition.,What is the apparatus the gymnast performs on?
v_VhdidrZKuTU,The man sprinkles table salt and white pepper powder on the crumpled pieces of newspaper and firewood before lighting it.,Can you describe the items the man adds onto the firewood before lighting it?
v_X4J9UBXb0FM,The video shows athletes participating in pole vaulting competitions during both day and night.,Can you describe what the athletes are competing in?
v_YAKXrBinGD4,"The video shows a houseboat, a jet-ski, a motorboat, and several kayak boats under a shed.",Can you describe the various boats shown in the video?
v_ij9czNGMR5I,The woman getting her tongue pierced is wearing a grey hoodie.,Can you describe the attire of the woman getting her tongue pierced?
v_34SBoGK8mT8,"The little girl is playing hopscotch on a court drawn on the ground, picking up and throwing a pebble a few times before successfully landing it in a square and hopping to that square.",Can you describe the actions of the little girl in the video?
v_j_r7zJWxI8w,The man wearing the Adidas blue t-shirt makes a hole in the beer can using a key and drinks from it.,What is the color of the shirt worn by the man picking up the beer can?
v_Fb4X1PWfOvY,"The woman is wearing a neon green T-shirt, black track pants with white stripes, and white sports shoes.",What color clothes is the woman wearing while exercising on the parallel bars in the park?
v_YU-dUWGOoD4,The gymnast is getting ready to perform on a pommel horse.,What kind of apparatus is the gymnast getting ready to perform on?
v_qmfZw9eEpIU,The man is windsurfing on a red board with an attached sail.,What is the color of the windsurfing board the man is using?
v_TNqc2yWZztE,"In the video, a woman is gift-wrapping boxes using gift-wrapping paper and tape.",Can you describe the process shown in the video?
v_dhsSq0K1xEg,'GUNS-N-ROSES' with a rose drawn underneath is written on the decorated saxophone case.,Can you describe the decoration on the saxophone case?
v_mShp2gzuPOM,"The video shows a girl playing badminton in a gym with people standing at the edges, a woman taking pictures near the netting, a scoreboard at the top of the wall, an American flag hung vertically, and retracted bleachers to the left.",Can you describe the surroundings of the girl playing badminton in the video?
v_IN23CO8Kotk,The parrot is eating cream from a pink coffee cup with a butterfly painted on it.,"On what container is the butterfly painted, that the parrot is eating from on the kitchen counter?"
v_3zpODTqnYLs,The toddler is washing her face with pool water multiple times while sitting on the pool wall while the man holds onto her.,What is the toddler doing in the video?
v_QOsG3BeQeX0,The person is wearing a blue shirt and khaki shorts.,Can you describe the person who is swinging from the parallel bars?
v_QT4d1nTQYSE,The artist's name is Jonas Gerard.,What is the name of the artist performing a live painting event?
v_4mRkWNLE66E,The player in the white number 15 jersey is being pointed to by the red arrow and he scored a goal and celebrated with his teammates at the end of the video.,Which player in white jersey scored a goal and celebrated with his teammates at the end of the video?
v_w4pO-1-FG5w,The little boy is wearing a blue cape with pictures of animated characters on it at the saloon.,Can you describe the design of the cape that the little boy is wearing at the saloon?
v_SV3v-nA6hXM,The man is wearing a white shirt with a harness on it and a cap while standing on the bungee platform.,What is the man wearing while standing on the bungee platform?
v_-uJnucdW6DY,"A group of kids are playing a game of soccer in the grassy field surrounded by a metal fence with light poles. They are passing the ball to each other, kicking it, and running across the field.",What is happening in the video?
v_-cAcA8dO7kA,A man is riding a dirt bike in a dirt field with houses visible beyond the field.,What is happening in the beginning of the video?
v_EK7qW-oavQY,Water polo is being played in the swimming pool.,What sport is being played in the pool?
v_UvOEuhS0V3E,"The woman in the first clip is wearing a white top and applying lipstick in a well-lit room in front of a mirror. The man in the next clip is sitting in front of the same mirror, wearing an olive T-shirt. He removes something from a box and wipes them on his eyebrows one at a time, before eating them.",What is the woman in the first clip wearing and what is she doing?
v_tLk0Y04OaCA,"The girl wearing the blue shirt is standing next to a person wearing a grey sweatshirt, and another person wearing a red top is visible in the mirror, holding up a phone and recording.",Who is standing next to the girl wearing the blue shirt?
v_RXT17X7lRoQ,The girls on the lacrosse team are wearing black and pink uniforms.,What are the colors of the uniforms worn by the girls on the lacrosse team in the video?
v_TsHek6oZYXU,The master is wearing a black Tai Chi uniform and the other man is wearing a white Tai Chi uniform.,What is the color of the Tai Chi uniform worn by the master?
v_-6dz6tBH77I,The man is holding a disk in his right hand.,Can you describe what the man is holding in his right hand in the video?
v_z3MP0yJBtGg,"The woman is wearing a black hoodie and jeans skirt and standing in front of a stone dipper well with ladles. There is water in a tank at the top of the dipper. She is standing on a stone floor with a roof. Pillars are visible some distance to her left. A yard is visible outside the structure, with a fence at the end. A tree is visible to the left of the yard.",Can you describe the woman and her surroundings?
v_4oi6dXfpJS4,The gymnast is wearing a pink outfit when she mounts the balance beam.,What color outfit is the gymnast wearing when she starts performing on the balance beam?
v_sNJ6_N0j9Ts,The men are wearing shorts and sports shoes.,What are the men wearing while playing squash in the well-lit court?
v_IDIALY6Ayk8,"The people are at a winery, where they are shown a bottle of wine and then served wine to drink while seated in a dining room.",What activity are the people engaged in at the winery?
v_sNJ6_N0j9Ts,The men are wearing shorts and sports shoes.,Can you describe the attire of the players on the well-lit squash court?
v_le7JdKQB65I,The woman is wearing a white coat over a teal top.,Can you describe the woman's outfit in the video?
v_wJk3KOUAwXA,"The man is waxing and polishing a wooden table using steel wool, a car buffing wheel, and a wet rag.",What is the man doing in the woodworking shop?
v_bz4QwqHiVlo,The man is wearing a purple shirt while vacuuming in the living room.,Can you describe the outfit of the man who is vacuuming in the living room?
v_VWGV8I5byKI,The man picks up a barbell with weights stacked on either end and lifts it once before dropping it to the ground.,What equipment does the man lift in the gym?
v_T7YcO-sOLuU,"The man is cleaning the shoes using a hand brush, water, and JASON MARKK cleaning solution.",What is the man cleaning the shoes with?
v_Bkhr72sazvQ,"The man in the video is promoting a weight loss product and talks about ""5 pounds lost in 7 days"".",What is the weight loss product being advertised in the video?
v_Ku76zinwWkg,The girl and the boy are both wearing black outfits while running on the track.,What is the colour of the outfits worn by the girl and the boy on the track?
v_nI6l7BP0odw,The man wearing a Scottish kilt is playing the bagpipe.,What musical instrument is the man playing?
v_N1_pNhVqG20,"The surfer is windsurfing and performing flips, maneuvers, and jumps, including a one-handed burner where he pushes the sail down and jump-twists on his board.",What is the surfer doing in the video?
v_4KMG6lEDSIM,"In the final scene of the video, a man wearing a black gi breaks tiles placed on two cinder blocks.",Can you describe the last martial arts demonstration shown in the video?
v_jCxQQ9DMpT0,The man who instructs the archer on how to grip the bow is wearing a blue polo shirt and a grey cap.,Can you describe the clothing of the person who teaches the archer how to hold the bow?
v_K6QunmuTZOQ,"The woman is wearing a grey t-shirt and black track pants, standing in a small gym with other exercise equipment around her. Sunlight is streaming from an open door in front of her. ",What is the woman wearing and where is she standing?
v_lIo8HfzzSNs,"The dressing for the Russian salad was made by mixing two T-spoons of cream, two T-spoons of mayonnaise, salt, and pepper in a glass bowl.",Can you describe the process of making the Russian salad dressing?
v_tXUssW4vT3o,The belly dancer is wearing a sparkling turquoise-colored dress.,Can you describe the attire of the belly dancer?
v_0DFz3sgfda0,"The girls are making a salad in the kitchen with various ingredients like lettuce, tomatoes, and peanuts.",What are the girls doing with the food items in the kitchen?
v_4NPVpI9zUpI,Stefan Holm performs the first degree jump in which he runs towards the horizontal bar and successfully jumps over it.,Can you describe the first jump Stefan Holm performs in the video?
v_ooFuSspUuVY,The girl is wearing a white helmet while riding the horse in the video.,Can you describe what the girl is wearing on her head while riding the horse in the video?
v_z6pmp8TrAVo,"The man is wearing a grey T-shirt and glasses, and he is washing a plate in a well-lit kitchen with white walls. There is a refrigerator visible at the back, and a potted plant next to the sink.",What is the man wearing while washing a plate in the kitchen?
v_UtV69uNmzlE,The woman is shaving her right leg with a razor and dips it into the toilet bowl during the process.,What is the woman doing in the well-lit bathroom?
v_ghxiG0Dnrt0,The woman is wearing a black apron over a T-shirt and jeans.,What is the woman wearing while cleaning the sink?
v_HkbOI7gEtKk,"The video features two women, one wearing a teal top and the other wearing a white one. The woman in the teal top is a beautician and she is demonstrating how to make a cleansing with baking soda while the woman in the white top, the model, follows the instructions by mixing yogurt and baking soda to apply to her face.",Who are the two women in the video and what are they doing?
v_4-KiAur4dI8,"The event featured in the video is Red Bull CROSSWAYS, as indicated by the logo displayed at the beginning of the video.",What is the name of the event featured in the video?
v_HMs703DhjQU,"The man on the left is wearing a black suit, and the man on the right is Will Smith, the actor wearing a multi-colored shirt.",What are the men wearing in the kitchen?
v_E5YBb4rzV30,"Before adding a can of tuna to the mixing bowl, the woman adds mayonnaise, relish, mustard, celery, and chopped onion. She then arranges lettuce leaves on a plate, places a spoonful of the tuna mixture on each leaf and folds them into wraps.",Can you describe the steps taken by the woman to prepare the tuna wraps?
v_6utacRir3uM,People are working out in a well-lit aerobics studio using aerobic steps with an instructor giving instructions. A man falls down while trying to follow the instructor and receives help from the instructor and some other participants.,Can you describe the people and their workout in the aerobics studio?
v_2nDbYhgdw2A,The person in the yellow shirt performs the backspin as the first dance move.,What is the first dance move executed by the person wearing the yellow shirt in the video?
v_nDHupsLdar0,The wall behind the man is cream-colored and there is a lamp visible at his back.,What is the color of the wall behind the man playing the harmonica?
v_IGZvj1J9tNc,"The players are running across the court in groups of three, while the one in the middle dribbles the ball and shoots it in the basket, and then they repeat the drill with a different player among the three, while the coach watches from outside the court.",What drill are the players performing in the video?
v_QG2xYcN_bl0,The boy is doing a crisscrossing drill with orange agility cones on a basketball court.,What is the boy doing on the basketball court?
v_vzUeFzhVYLg,The video starts with a woman on the second level of a diving platform in an indoor swimming pool with overhead lights. The woman runs to the edge and dives with a tuck and several turns into the pool.,Who is on the second level of the diving platform and what does she do?
v_YU-dUWGOoD4,The gymnast is getting ready to perform on a pommel horse.,Which gymnastics equipment does the man put his hands on?
v_kl-2y3jtPNE,The game being played in the field is cricket.,Can you describe the sports activity taking place in the field?
v_W9H2qVnIWXs,A golden retriever is being bathed in the video.,Can you describe the dog that is being bathed in the video?
v_wFVukrQfQhI,"The two girls are playing racquetball wearing white T-shirts and shorts, and both are wearing safety glasses while playing.",Can you describe the outfits and equipment used by the two girls while playing in the well-lit racquetball court?
v_d09u-0k3LdE,The woman is wearing a red vest and holding a hammer attached to a string. She is standing in a net in a field with a red mat on the ground. She swings the hammer with the string and releases it through the open end of the netting.,Can you describe the woman in the video and what she is doing?
