,Unnamed: 0,qid,video_id,question_type,capability,question,duration,question_prompt,answer,youtube_url,breakdown
18,18,0036-3,1SiTuYb506o,Wrongly-led Open-ended Question,Objective Causality (Videography Phenomenon & Illusion),"Is the machine able to cut the zucchini thinly because of the sharpness of the blade, even at a slower speed?",18.01,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/1SiTuYb506o,"['What is the sharpness of the blade on the machine?', 'What is the speed at which the machine operates?', 'How does the sharpness of the blade affect the cutting ability?', 'What is the thickness of the zucchini slices produced by the machine?', 'Is there a relationship between the speed of the machine and the thickness of the cuts?']"
19,19,0036-7,1SiTuYb506o,Multiple-choice Question with a Single Correct Answer,Objective Causality (Videography Phenomenon & Illusion),"Why can the machine cut the zucchini so thinly?
A. The blades spin at high speed, and the stroboscopic effect makes it appear slow.
B. The machine uses a laser to cut.
C. The zucchini is fed consistently and controlled.
D. The blade is sharp enough to cut at a slower speed.",18.01,"E. None of the above
Select one best answer to the above multiple-choice question based on the video. Respond with only the letter (A, B, C, D or E) of the correct option.",,https://www.youtube.com/shorts/1SiTuYb506o,"['What mechanism does the machine use to cut the zucchini?', 'What is the speed of the blades in the machine?', 'Is there a stroboscopic effect present in the video?', 'How is the zucchini fed into the machine?', 'What type of blade is used in the machine?', 'Is the blade sharp enough to cut at a slower speed?', 'Does the machine use a laser for cutting?', 'What are the characteristics of the cuts made by the machine?']"
20,20,0037-0,KyyDh9NP_lc,Primary Open-ended Question,Element Attributes (Optical Illusion),How many parts of the video have been artificially edited?,19.55,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/KyyDh9NP_lc,"['How many distinct parts are visible in the video?', 'What visual indicators suggest that a part has been artificially edited?', 'Can you identify the specific parts that show signs of editing?', 'What is the context or content of the edited parts compared to the original?', 'Are there any transitions or effects that indicate editing?', 'Is there a difference in quality or style between edited and unedited parts?']"
21,21,0037-1,KyyDh9NP_lc,Paraphrased Open-ended Question,Element Attributes (Optical Illusion),In how many sections does the video show signs of artificial editing?,19.55,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/KyyDh9NP_lc,"['How many distinct sections are visible in the video?', 'What visual indicators suggest that a section has been artificially edited?', 'Can you identify the sections that show signs of artificial editing?', 'What are the characteristics of the sections that appear to be edited?', 'Is there a pattern in the sections that show signs of editing?']"
22,22,0037-2,KyyDh9NP_lc,Correctly-led Open-ended Question,Element Attributes (Optical Illusion),Is the video edited in multiple parts to create the effect of video game glitches?,19.55,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/KyyDh9NP_lc,"['How many distinct parts or segments are present in the video?', 'What visual effects are used in the video that resemble video game glitches?', 'Are there noticeable transitions or cuts between different segments of the video?', 'Is there a pattern in the editing that suggests a deliberate attempt to mimic video game glitches?', 'What specific elements in the video indicate that it has been edited?', 'Are there any visual cues that suggest the presence of glitches typical in video games?']"
23,23,0037-3,KyyDh9NP_lc,Wrongly-led Open-ended Question,Element Attributes (Optical Illusion),Is the video edited only in one part to create the effect of video game glitches?,19.55,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/KyyDh9NP_lc,"['Is there any visible editing in the video?', 'What specific parts of the video show signs of editing?', 'Are there any effects that resemble video game glitches?', 'Is the glitch effect consistent throughout the video or limited to specific sections?', 'What techniques are used to create the glitch effect in the video?']"
24,24,0037-7,KyyDh9NP_lc,Multiple-choice Question with a Single Correct Answer,Element Attributes (Optical Illusion),"How many parts of the video have been artificially edited?
A. Five
B. One
C. None
D. Two",19.55,"E. None of the above
Select one best answer to the above multiple-choice question based on the video. Respond with only the letter (A, B, C, D or E) of the correct option.",,https://www.youtube.com/shorts/KyyDh9NP_lc,"['How many distinct parts of the video are present?', 'Which parts of the video appear to be artificially edited?', 'Are there any parts of the video that are not edited?', 'Is there a total count of edited parts that can be confirmed?', 'Do any of the edited parts overlap with the unedited parts?']"
25,25,0038-0,sj81PWrerDk,Primary Open-ended Question,Professional Knowledge,Why was the last person able to snap off the cap so easily?,8.85,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/sj81PWrerDk,"['What is the condition of the cap before the last person attempts to snap it off?', 'What tools or techniques does the last person use to snap off the cap?', 'What is the physical state of the last person (e.g., strength, grip) compared to others?', 'Are there any visible signs of wear or damage on the cap that might affect its removal?', 'What are the actions of the other people attempting to snap off the cap?', 'Is there any environmental factor (e.g., temperature, humidity) that could influence the ease of removing the cap?']"
26,26,0038-1,sj81PWrerDk,Paraphrased Open-ended Question,Professional Knowledge,What was the reason that the last person was able to break off the bottle cap so easily?,8.85,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/sj81PWrerDk,"['What is the condition of the bottle cap before the last person attempts to break it off?', 'What tools or methods does the last person use to break off the bottle cap?', 'What is the physical state of the bottle (e.g., temperature, pressure) at the time of the attempt?', 'Are there any visible signs of wear or damage on the bottle cap?', 'What are the actions of the last person leading up to breaking off the bottle cap?', 'What are the actions of the other people (if any) in relation to the bottle cap?', 'Is there any context or background information about the last person that might explain their success?']"
27,27,0038-2,sj81PWrerDk,Correctly-led Open-ended Question,Professional Knowledge,Did the last person successfully break the bottle?,8.85,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/sj81PWrerDk,"['What is the position of the last person in relation to the bottle?', 'What actions is the last person taking towards the bottle?', ""Is the bottle intact or broken after the last person's action?"", 'What evidence is there to indicate whether the bottle was successfully broken?']"
28,28,0038-3,sj81PWrerDk,Wrongly-led Open-ended Question,Professional Knowledge,Did the last person use a lighter as a lever to snap off the cap easily?,8.85,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/sj81PWrerDk,"['What is the position of the last person in relation to the cap?', 'Is there a lighter present in the scene?', 'How is the lighter being used by the last person?', 'What is the condition of the cap before the last person attempts to snap it off?', 'What is the result of the last person’s action with the lighter and the cap?']"
29,29,0038-7,sj81PWrerDk,Multiple-choice Question with a Single Correct Answer,Professional Knowledge,"How did the last person snap off the cap so easily?
A. They used a knife to create leverage.
B. They had a knife hidden in their sleeve, which they used to cut the cap off.
C. They made a shallow cut around the bottle's mouth.
D. They were using a knife to twist and break the cap.",8.85,"E. None of the above
Select one best answer to the above multiple-choice question based on the video. Respond with only the letter (A, B, C, D or E) of the correct option.",,https://www.youtube.com/shorts/sj81PWrerDk,"['What tools or objects does the last person have in the video?', 'What specific action does the last person take to snap off the cap?', 'Is there any visible leverage being used by the last person?', ""Are there any cuts or modifications made to the bottle's cap in the video?"", 'What are the actions of the last person compared to the other people in the video?']"
30,30,0064-0,sE-KTqE9Dek,Primary Open-ended Question,Objective Causality,Why did the room go dark after the stick figure character closed the door?,12.61,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/sE-KTqE9Dek,"['What is the state of the room before the stick figure character closes the door?', 'What happens to the light in the room when the stick figure character closes the door?', 'Are there any light sources in the room that could be affected by the door closing?', 'What is the position of the stick figure character in relation to the door when it is closed?', 'Is there any indication of a change in the environment or atmosphere when the door is closed?']"
31,31,0064-1,sE-KTqE9Dek,Paraphrased Open-ended Question,Objective Causality,What caused the room to become dark after the stick figure character shut the door?,12.61,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/sE-KTqE9Dek,"['What is the initial lighting condition of the room before the door is shut?', 'What happens to the light when the stick figure character shuts the door?', 'Are there any light sources in the room that could be affected by the door being shut?', 'Is there any indication of the door being a source of light or blocking light?', 'What is the position of the stick figure character in relation to the door and the light sources?']"
32,32,0064-2,sE-KTqE9Dek,Correctly-led Open-ended Question,Objective Causality,"Did the room go dark because the stick figure character closed the door, causing the lamp to fall?",12.61,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/sE-KTqE9Dek,"['Is the door closed by the stick figure character?', 'Is the lamp positioned in a way that it could fall when the door is closed?', 'What is the state of the room before and after the door is closed?', 'Is there any indication of the lamp falling after the door is closed?', 'Are there any other factors in the room that could cause it to go dark?']"
33,33,0064-3,sE-KTqE9Dek,Wrongly-led Open-ended Question,Objective Causality,Did the room go dark because the stick figure character accidentally hit the light switch when closing the door?,12.61,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/sE-KTqE9Dek,"['Is the light switch visible in the scene?', 'Is the stick figure character shown interacting with the door?', 'Is there any indication that the stick figure character is near the light switch when closing the door?', 'What is the state of the room before and after the door is closed?', 'Are there any other characters or objects that could affect the lighting in the room?']"
34,34,0064-7,sE-KTqE9Dek,Multiple-choice Question with a Single Correct Answer,Objective Causality,"Why did the room go dark after the stick figure character closed the door?
A. The lamp fell due to force.
B. The light switch was hit.
C. The stick figure character closed the door.
D. The stick figure character turned off the light switch.",12.61,"E. None of the above
Select one best answer to the above multiple-choice question based on the video. Respond with only the letter (A, B, C, D or E) of the correct option.",,https://www.youtube.com/shorts/sE-KTqE9Dek,"[""What happens to the room's lighting when the stick figure character closes the door?"", 'Is there a lamp present in the room, and does it fall when the door is closed?', 'Is there a light switch in the room, and does it get hit when the door is closed?', 'Does the stick figure character perform any action related to the light switch when closing the door?', 'Is there any indication that the light switch was turned off by the stick figure character?', 'Are there any other factors or events occurring in the video that could explain why the room went dark?']"
35,35,0070-0,MSkL7A2yyOY,Primary Open-ended Question,Event Counting,How many times did the person in the video pour the water?,12.97,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/MSkL7A2yyOY,"['How many times does the person in the video pour the water?', 'At what moments does the person pour the water?', 'Is there any indication of the amount of water being poured each time?', 'Are there any interruptions or pauses between the pouring actions?']"
36,36,0070-1,MSkL7A2yyOY,Paraphrased Open-ended Question,Event Counting,How many times does the person pour water in the video?,12.97,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/MSkL7A2yyOY,"['How many times does the person appear to pour water in the video?', 'What is the context or purpose of pouring water in the video?', 'Are there any visual indicators that show the amount of water being poured each time?', 'Is there a clear start and end to each pouring action in the video?']"
37,37,0070-2,MSkL7A2yyOY,Correctly-led Open-ended Question,Event Counting,Did the person in the video pour the water twice?,12.97,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/MSkL7A2yyOY,"['How many times does the person in the video pour the water?', 'What is the context or situation in which the water is being poured?', 'Are there any visual indicators that suggest multiple pours?', 'What is the sequence of actions performed by the person regarding the water?', 'Is there any visual evidence of water being poured into different containers?']"
38,38,0070-3,MSkL7A2yyOY,Wrongly-led Open-ended Question,Event Counting,Did the person in the video pour the water once?,12.97,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/MSkL7A2yyOY,"['Is there a scene in the video where water is being poured?', 'How many times is water poured in the video?', 'What is the context or situation in which the water is being poured?', 'Are there any interruptions or pauses during the pouring of water?']"
39,39,0070-7,MSkL7A2yyOY,Multiple-choice Question with a Single Correct Answer,Event Counting,"How many times did the person in the video pour the water?
A. Once
B. Three times
C. Four times
D. Twice",12.97,"E. None of the above
Select one best answer to the above multiple-choice question based on the video. Respond with only the letter (A, B, C, D or E) of the correct option.",,https://www.youtube.com/shorts/MSkL7A2yyOY,"['How many times is water being poured in the video?', 'Is the person pouring water in a continuous motion or in separate instances?', 'What is the total count of water pouring actions performed by the person?', 'Are there any moments in the video where the pouring action is not clearly visible?', 'Does the video show any other actions that might be confused with pouring water?']"
40,40,0080-0,_MXxJT8Mk4k,Primary Open-ended Question,Professional Knowledge,What is the purpose of beating the balloon?,13.18,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/_MXxJT8Mk4k,"['What is the context in which the balloon is being beaten?', 'What are the characteristics of the balloon (e.g., size, material)?', 'What are the actions being performed while beating the balloon?', 'What are the visual cues or reactions from the balloon during the beating?', 'Are there any people or objects interacting with the balloon during this action?', 'What is the intended outcome or effect of beating the balloon?']"
41,41,0080-1,_MXxJT8Mk4k,Paraphrased Open-ended Question,Professional Knowledge,Why do you need to hit the balloon in this activity?,13.18,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/_MXxJT8Mk4k,"['What is the purpose of hitting the balloon in this activity?', 'What are the rules or objectives of the activity involving the balloon?', 'What are the potential outcomes or benefits of hitting the balloon?', 'Are there any specific techniques or methods suggested for hitting the balloon?']"
42,42,0080-2,_MXxJT8Mk4k,Correctly-led Open-ended Question,Professional Knowledge,Is the purpose of hitting the balloon to create a fun and interactive toy?,13.18,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/_MXxJT8Mk4k,"['What is the context in which the balloon is being hit?', 'What are the characteristics of the balloon?', 'What are the reactions of the people involved when hitting the balloon?', 'Are there any indications of enjoyment or interaction while hitting the balloon?', 'What is the intended use or purpose of the balloon in this scenario?']"
43,43,0080-3,_MXxJT8Mk4k,Wrongly-led Open-ended Question,Professional Knowledge,Is the purpose of hitting the balloon to make it pop loudly?,13.18,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/_MXxJT8Mk4k,"['What is the action being performed with the balloon?', 'What is the condition of the balloon before it is hit?', 'What sound is produced when the balloon is hit?', 'Is there any indication of the intention behind hitting the balloon?', 'What are the possible outcomes of hitting the balloon?']"
44,44,0080-7,_MXxJT8Mk4k,Multiple-choice Question with a Single Correct Answer,Professional Knowledge,"What is the purpose of beating the balloon?
A. To inflate the balloon
B. To pop it
C. To deflate it
D. To change its color",13.18,"E. None of the above
Select one best answer to the above multiple-choice question based on the video. Respond with only the letter (A, B, C, D or E) of the correct option.",,https://www.youtube.com/shorts/_MXxJT8Mk4k,"['What is happening in the video regarding the balloon?', 'Is the balloon being inflated in the video?', 'Is the balloon being popped in the video?', 'Is the balloon being deflated in the video?', 'Is there any action in the video that changes the color of the balloon?', 'Are there any actions in the video that do not fit the provided options?']"
45,45,0081-0,crJZF1-5ryE,Primary Open-ended Question,Character Motivation Causality,Why does the man put his hand on his face?,11.86,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/crJZF1-5ryE,"[""What is the expression on the man's face?"", 'What is the context or situation in which the man is putting his hand on his face?', 'Are there any other people present, and what are their reactions?', ""What is the man's body language or posture?"", 'Is there any specific object or event that the man is reacting to?']"
46,46,0081-1,crJZF1-5ryE,Paraphrased Open-ended Question,Character Motivation Causality,What is the reason the man covers his face with his hand?,11.86,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/crJZF1-5ryE,"[""What is the expression on the man's face?"", 'What is the context or situation in which the man is covering his face?', 'Are there any visible emotions or reactions from the man?', ""What is the surrounding environment or setting that might influence the man's action?"", ""Is there any interaction with other people that could explain the man's action?""]"
47,47,0081-2,crJZF1-5ryE,Correctly-led Open-ended Question,Character Motivation Causality,Did the man cover his face to transfer the cat face filter to the girl next to him?,11.86,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/crJZF1-5ryE,"['Is the man covering his face in the image?', 'Is the cat face filter visible on the man?', 'Is the girl next to the man wearing the cat face filter?', 'Is there any indication that the man is trying to transfer the filter to the girl?', 'What is the position of the man relative to the girl?', 'Are there any visual cues that suggest interaction between the man and the girl?']"
48,48,0081-3,crJZF1-5ryE,Wrongly-led Open-ended Question,Character Motivation Causality,Did the man put his hand on his face as part of a synchronized dance move?,11.86,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/crJZF1-5ryE,"['Is the man performing a dance move?', ""What is the position of the man's hand during the dance?"", ""Is the man's hand on his face at any point?"", 'Are there other people dancing with the man, and are they synchronized?', 'What type of dance is being performed?']"
49,49,0081-7,crJZF1-5ryE,Multiple-choice Question with a Single Correct Answer,Character Motivation Causality,"Why does the man put his hand on his face?
A. To adjust his glasses.
B. To hide from the camera.
C. As part of a synchronized dance move.
D. To transfer the cat face filter to the girl next to him.",11.86,"E. None of the above
Select one best answer to the above multiple-choice question based on the video. Respond with only the letter (A, B, C, D or E) of the correct option.",,https://www.youtube.com/shorts/crJZF1-5ryE,"[""What is the man's action in the video?"", 'Is the man wearing glasses?', 'Is the man trying to hide from the camera?', 'Is the man performing a synchronized dance move?', 'Is there a cat face filter being used in the video?', ""What is the context of the girl's presence next to the man?""]"
50,50,0083-0,Z-x3kXiyOFc,Primary Open-ended Question,Plot Attribute,What does the video want to tell as the daughter enters the room several times?,43.97,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/Z-x3kXiyOFc,"['What is the context of the video?', 'What actions does the daughter perform as she enters the room?', 'How does the daughter’s expression or demeanor change with each entry?', 'Are there any significant interactions between the daughter and other characters in the room?', 'What is the overall mood or atmosphere of the room when the daughter enters?', 'Are there any visual cues or symbols that indicate a message or theme?', 'How do the other characters react to the daughter’s entries?', 'Is there a recurring motif or pattern in the daughter’s entries that stands out?']"
51,51,0083-1,Z-x3kXiyOFc,Paraphrased Open-ended Question,Plot Attribute,What is the message conveyed by the daughter's repeated entries into the room?,43.97,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/Z-x3kXiyOFc,"['What is the context of the daughter entering the room?', 'How many times does the daughter enter the room?', 'What are the expressions or emotions displayed by the daughter during each entry?', 'What is the reaction of other characters present in the room during the daughter’s entries?', 'Is there any change in the environment or situation in the room with each entry?', 'What is the overall tone or mood during the daughter’s repeated entries?']"
52,52,0083-2,Z-x3kXiyOFc,Correctly-led Open-ended Question,Plot Attribute,Is the daughter trying to uncover her mother's true feelings about the pet dog by entering the room multiple times?,43.97,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/Z-x3kXiyOFc,"['What is the daughter doing when she enters the room?', 'What are the expressions or body language of the mother when the daughter enters?', 'How does the mother react to the daughter entering the room multiple times?', 'Is there any dialogue or interaction between the daughter and the mother regarding the pet dog?', 'What is the overall context of the situation involving the daughter, mother, and pet dog?']"
53,53,0083-3,Z-x3kXiyOFc,Wrongly-led Open-ended Question,Plot Attribute,"Does the video show the daughter repeatedly entering the room to announce the pet dog, highlighting cultural differences?",43.97,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/Z-x3kXiyOFc,"['What actions does the daughter take when entering the room?', 'How many times does the daughter enter the room?', 'What is the daughter announcing when she enters the room?', ""What is the reaction of the other people in the room to the daughter's announcement?"", ""Are there any cultural elements depicted in the daughter's actions or the reactions of others?"", 'What is the significance of the pet dog in the context of the video?']"
54,54,0083-7,Z-x3kXiyOFc,Multiple-choice Question with a Single Correct Answer,Plot Attribute,"Why does the daughter enter the room several times?
A. To announce the pet dog.
B. To show excitement about the pet.
C. To emphasize cultural differences.
D. To check if her mother is two-faced about the dog.",43.97,"E. None of the above
Select one best answer to the above multiple-choice question based on the video. Respond with only the letter (A, B, C, D or E) of the correct option.",,https://www.youtube.com/shorts/Z-x3kXiyOFc,"[""What is the context of the daughter's actions in the video?"", 'How many times does the daughter enter the room?', ""What is the daughter's demeanor or expression when she enters the room?"", 'What specific actions does the daughter take when she enters the room?', ""What is the mother's reaction to the daughter's entries?"", 'Is there any mention of a pet dog in the video?', ""What cultural elements are present in the video that might influence the daughter's behavior?"", 'Does the daughter express any excitement or concern about the pet dog?', ""What does the term 'two-faced' imply in the context of the mother's behavior?""]"
55,55,0099-0,aUDYWYqtAR4,Primary Open-ended Question,Event Counting,How many zoomed-in close-ups are there throughout the video?,59.97,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/aUDYWYqtAR4,"['How many zoomed-in close-up shots are present in the video?', 'What is the duration of each zoomed-in close-up shot?', 'Are there any specific subjects or objects featured in the zoomed-in close-ups?', 'At what points in the video do the zoomed-in close-ups occur?', 'Is there a pattern or frequency to the zoomed-in close-ups throughout the video?']"
56,56,0099-1,aUDYWYqtAR4,Paraphrased Open-ended Question,Event Counting,What is the total number of zoomed-in close-ups in the video?,59.97,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/aUDYWYqtAR4,"['How many zoomed-in close-ups are present in the video?', 'What is the definition of a zoomed-in close-up in the context of this video?', 'Are there any specific scenes or moments that feature zoomed-in close-ups?', 'Can you identify the timestamps or segments where the zoomed-in close-ups occur?']"
