,Unnamed: 0,qid,video_id,question_type,capability,question,duration,question_prompt,answer,youtube_url,breakdown,answers
14,14,0016-7,4mKxze5P9gQ,Multiple-choice Question with a Single Correct Answer,Element Attributes (Optical Illusion),"Which direction is the person facing?
A. To the right
B. right and forward
C. left and forward
D. To the left",15.06,"E. None of the above
Select one best answer to the above multiple-choice question based on the video. Respond with only the letter (A, B, C, D or E) of the correct option.",,https://www.youtube.com/shorts/4mKxze5P9gQ,"```python
[
    ""What is the orientation of the person in the video?"",
    ""Is the person facing directly to the right?"",
    ""Is the person facing both right and forward?"",
    ""Is the person facing both left and forward?"",
    ""Is the person facing directly to the left?"",
    ""Are there any other orientations that the person could be facing?""
]
```","['The person is facing both right and forward, no, yes, no, no, no.']"
15,15,0036-0,1SiTuYb506o,Primary Open-ended Question,Objective Causality (Videography Phenomenon & Illusion),Why can the apparently slow spinning machine cut the zucchini so thinly?,18.01,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/1SiTuYb506o,"```python
[
    'What is the appearance and speed of the spinning machine?',
    'What is the mechanism or design of the spinning machine?',
    'How does the spinning machine interact with the zucchini?',
    'What are the characteristics of the zucchini being cut?',
    'What is the thickness of the slices produced by the machine?',
    'Are there any specific features of the machine that enhance its cutting ability?'
]
```","[""The spinning machine has a metallic body and a green cylindrical component, spinning at a moderate speed, , The machine has a central hub with a rotating blade and a conveyor belt, , The spinning machine cuts the zucchini into thin, circular slices as they pass through the blade, , The zucchini is green and appears fresh, , The slices produced by the machine are uniform in thickness, , The machine's design includes a sharp blade and a conveyor belt that ensures consistent slicing.""]"
16,16,0036-1,1SiTuYb506o,Paraphrased Open-ended Question,Objective Causality (Videography Phenomenon & Illusion),How does the machine manage to slice the zucchini so thinly despite appearing to spin slowly?,18.01,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/1SiTuYb506o,"```python
[
    'What is the design of the machine used for slicing the zucchini?',
    'How does the slicing mechanism of the machine work?',
    'What is the speed of the blade or cutting element in the machine?',
    'What is the relationship between the machine’s spinning speed and the thickness of the slices?',
    'Are there any specific features of the machine that enhance its slicing capability?',
    'What materials are used for the blade or cutting element of the machine?'
]
```","['The machine has a rotating blade design, , The slicing mechanism involves the blade spinning at high speed to cut the zucchini into thin slices, , The speed of the blade is not explicitly shown but it is likely high to achieve consistent slicing, , A faster spinning speed generally results in thinner slices, , The machine likely has a safety guard and a motorized system to ensure precise and controlled slicing, , The blade is made of stainless steel for durability and sharpness.']"
17,17,0036-2,1SiTuYb506o,Correctly-led Open-ended Question,Objective Causality (Videography Phenomenon & Illusion),"Is the reason the machine cuts the zucchini so thinly because the blades are spinning at a high speed, creating a stroboscopic effect?",18.01,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/1SiTuYb506o,"```python
[
    ""What is the speed of the blades in the machine?"",
    ""What is the thickness of the zucchini slices produced by the machine?"",
    ""What is a stroboscopic effect and how does it relate to high-speed motion?"",
    ""Are there any visual indicators of the blades spinning at high speed?"",
    ""Is there any evidence or explanation provided that connects blade speed to the thickness of the zucchini slices?""
]
```","['The speed of the blades in the machine is not specified in the video, but they appear to be spinning at a moderate speed, as indicated by the motion blur. The thickness of the zucchini slices produced by the machine is not explicitly mentioned, but they seem to be uniformly thin, suggesting a consistent slicing process. A stroboscopic effect is a phenomenon where objects in motion appear stationary when photographed at a certain frequency. In the video, this effect is likely used to create the illusion of the zucchini slices being thrown into the air, which is a visual trick rather than a real high-speed motion. There are no visual indicators in the video that connect blade speed to the thickness of the zucchini slices; the slicing appears to be consistent regardless of the speed of the blades. There is no evidence or explanation provided in the video that links blade speed to the thickness of the zucchini slices.']"
18,18,0036-3,1SiTuYb506o,Wrongly-led Open-ended Question,Objective Causality (Videography Phenomenon & Illusion),"Is the machine able to cut the zucchini thinly because of the sharpness of the blade, even at a slower speed?",18.01,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/1SiTuYb506o,"```python
[
    'What is the sharpness of the blade on the machine?',
    'What is the speed at which the machine operates?',
    'How does the sharpness of the blade affect the cutting ability?',
    'What is the thickness of the zucchini slices produced by the machine?',
    'Is there a relationship between the speed of the machine and the thickness of the cuts?'
]
```","['The sharpness of the blade on the machine is very sharp, the speed at which the machine operates is fast, the sharpness of the blade affects the cutting ability by making it more precise and efficient, the thickness of the zucchini slices produced by the machine is consistent and thin, there is a relationship between the speed of the machine and the thickness of the cuts; faster speed results in thinner cuts.']"
19,19,0036-7,1SiTuYb506o,Multiple-choice Question with a Single Correct Answer,Objective Causality (Videography Phenomenon & Illusion),"Why can the machine cut the zucchini so thinly?
A. The blades spin at high speed, and the stroboscopic effect makes it appear slow.
B. The machine uses a laser to cut.
C. The zucchini is fed consistently and controlled.
D. The blade is sharp enough to cut at a slower speed.",18.01,"E. None of the above
Select one best answer to the above multiple-choice question based on the video. Respond with only the letter (A, B, C, D or E) of the correct option.",,https://www.youtube.com/shorts/1SiTuYb506o,"```python
[
    ""What mechanism does the machine use to cut the zucchini?"",
    ""What is the speed of the blades in the machine?"",
    ""Is there a stroboscopic effect present in the video?"",
    ""How is the zucchini fed into the machine?"",
    ""What type of blade is used in the machine?"",
    ""Is the blade sharp enough to cut at a slower speed?"",
    ""Does the machine use a laser for cutting?"",
    ""What are the characteristics of the cuts made by the machine?""
]
```","['The machine uses a rotating blade to cut the zucchini, the speed of the blades is fast, there is no stroboscopic effect present in the video, the zucchini is fed into the machine through a chute, the blade used in the machine is a rotating one, the blade is sharp enough to cut at a faster speed, the machine does not use a laser for cutting, the cuts made by the machine are uniform and precise.']"
20,20,0037-0,KyyDh9NP_lc,Primary Open-ended Question,Element Attributes (Optical Illusion),How many parts of the video have been artificially edited?,19.55,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/KyyDh9NP_lc,"```python
[
    'How many distinct parts are visible in the video?',
    'What visual indicators suggest that a part has been artificially edited?',
    'Can you identify the specific parts that show signs of editing?',
    'What is the context or content of the edited parts compared to the original?',
    'Are there any transitions or effects that indicate editing?',
    'Is there a difference in quality or style between edited and unedited parts?'
]
```","['1, Distorted patterns and colors, Distorted patterns and colors, The edited parts show exaggerated and unrealistic movements and visual effects, Yes, there are transitions and effects such as color distortion and object displacement, Yes, there is a noticeable difference in quality and style between the edited and unedited parts.']"
21,21,0037-1,KyyDh9NP_lc,Paraphrased Open-ended Question,Element Attributes (Optical Illusion),In how many sections does the video show signs of artificial editing?,19.55,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/KyyDh9NP_lc,"```python
[
    'How many distinct sections are visible in the video?',
    'What visual indicators suggest that a section has been artificially edited?',
    'Can you identify the sections that show signs of artificial editing?',
    'What are the characteristics of the sections that appear to be edited?',
    'Is there a pattern in the sections that show signs of editing?'
]
```","['3, Distorted shapes and colors, The man\'s body becomes pixelated and the background changes to a checkered pattern, The man\'s body is replaced with a digital grid and the word ""ERROR"" appears, The sections showing signs of editing are consistent in their use of distortion and color changes, There is no clear pattern in the sections that show signs of editing; they seem to be randomly distributed throughout the video.']"
22,22,0037-2,KyyDh9NP_lc,Correctly-led Open-ended Question,Element Attributes (Optical Illusion),Is the video edited in multiple parts to create the effect of video game glitches?,19.55,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/KyyDh9NP_lc,"```python
[
    'How many distinct parts or segments are present in the video?',
    'What visual effects are used in the video that resemble video game glitches?',
    'Are there noticeable transitions or cuts between different segments of the video?',
    'Is there a pattern in the editing that suggests a deliberate attempt to mimic video game glitches?',
    'What specific elements in the video indicate that it has been edited?',
    'Are there any visual cues that suggest the presence of glitches typical in video games?'
]
```","['1, Distorted body shapes and pixelation, Yes, Yes, Distorted body shapes and pixelation, Yes']"
23,23,0037-3,KyyDh9NP_lc,Wrongly-led Open-ended Question,Element Attributes (Optical Illusion),Is the video edited only in one part to create the effect of video game glitches?,19.55,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/KyyDh9NP_lc,"```python
[
    'Is there any visible editing in the video?',
    'What specific parts of the video show signs of editing?',
    'Are there any effects that resemble video game glitches?',
    'Is the glitch effect consistent throughout the video or limited to specific sections?',
    'What techniques are used to create the glitch effect in the video?'
]
```","[""Yes, there is visible editing in the video, , The glitch effect is shown when the person's body distorts and transforms into a pixelated pattern, , Yes, the glitch effect is present when the person's body distorts and transforms into a pixelated pattern, , The glitch effect is limited to specific sections where the person's body distorts and transforms into a pixelated pattern, , The glitch effect is created using visual effects that distort and transform the person's body into a pixelated pattern, which is reminiscent of video game glitches.""]"
24,24,0037-7,KyyDh9NP_lc,Multiple-choice Question with a Single Correct Answer,Element Attributes (Optical Illusion),"How many parts of the video have been artificially edited?
A. Five
B. One
C. None
D. Two",19.55,"E. None of the above
Select one best answer to the above multiple-choice question based on the video. Respond with only the letter (A, B, C, D or E) of the correct option.",,https://www.youtube.com/shorts/KyyDh9NP_lc,"```python
[
    'How many distinct parts of the video are present?',
    'Which parts of the video appear to be artificially edited?',
    'Are there any parts of the video that are not edited?',
    'Is there a total count of edited parts that can be confirmed?',
    'Do any of the edited parts overlap with the unedited parts?'
]
```","['2, 3, 1, 2, No']"
25,25,0038-0,sj81PWrerDk,Primary Open-ended Question,Professional Knowledge,Why was the last person able to snap off the cap so easily?,8.85,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/sj81PWrerDk,"```python
[
    'What is the condition of the cap before the last person attempts to snap it off?',
    'What tools or techniques does the last person use to snap off the cap?',
    'What is the physical state of the last person (e.g., strength, grip) compared to others?',
    'Are there any visible signs of wear or damage on the cap that might affect its removal?',
    'What are the actions of the other people attempting to snap off the cap?',
    'Is there any environmental factor (e.g., temperature, humidity) that could influence the ease of removing the cap?'
]
```","[""The cap appears to be intact and unopened before the last person attempts to snap it off., The last person uses their fingers to apply pressure and snap the cap off., The last person's grip and strength seem to be effective enough to remove the cap, indicating they may have a strong grip., There are no visible signs of wear or damage on the cap that might affect its removal., The other people in the video are shown attempting to snap off the cap using similar methods, but none succeed until the last person., There are no significant environmental factors mentioned in the video that could influence the ease of removing the cap.""]"
26,26,0038-1,sj81PWrerDk,Paraphrased Open-ended Question,Professional Knowledge,What was the reason that the last person was able to break off the bottle cap so easily?,8.85,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/sj81PWrerDk,"```python
[
    'What is the condition of the bottle cap before the last person attempts to break it off?',
    'What tools or methods does the last person use to break off the bottle cap?',
    'What is the physical state of the bottle (e.g., temperature, pressure) at the time of the attempt?',
    'Are there any visible signs of wear or damage on the bottle cap?',
    'What are the actions of the last person leading up to breaking off the bottle cap?',
    'What are the actions of the other people (if any) in relation to the bottle cap?',
    'Is there any context or background information about the last person that might explain their success?'
]
```","['The bottle cap appears intact and unopened, , The last person uses a knife to pry open the bottle cap, , The bottle is likely at room temperature and under normal pressure, , There are no visible signs of wear or damage on the bottle cap, , The last person carefully positions the knife around the cap and applies pressure to pry it off, , No other people are shown interacting with the bottle cap in the video, , The context suggests the person may have experience or skill in using a knife to open bottles, which could explain their success.']"
27,27,0038-2,sj81PWrerDk,Correctly-led Open-ended Question,Professional Knowledge,Did the last person successfully break the bottle?,8.85,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/sj81PWrerDk,"```python
[
    ""What is the position of the last person in relation to the bottle?"",
    ""What actions is the last person taking towards the bottle?"",
    ""Is the bottle intact or broken after the last person's action?"",
    ""What evidence is there to indicate whether the bottle was successfully broken?""
]
```","['The last person is sitting at a table, , The last person is using a knife to cut the bottle cap off, , The bottle is intact, , There is no visible evidence of the bottle being broken, such as a broken glass or liquid spillage.']"
28,28,0038-3,sj81PWrerDk,Wrongly-led Open-ended Question,Professional Knowledge,Did the last person use a lighter as a lever to snap off the cap easily?,8.85,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/sj81PWrerDk,"```python
[
    'What is the position of the last person in relation to the cap?',
    'Is there a lighter present in the scene?',
    'How is the lighter being used by the last person?',
    'What is the condition of the cap before the last person attempts to snap it off?',
    'What is the result of the last person’s action with the lighter and the cap?'
]
```","[""The last person is positioned in front of the cap, which is on top of the Coca-Cola bottle, , No, there is no lighter present in the scene, , The lighter is not being used by the last person; they are attempting to snap the cap off with their hand, , The cap is securely on top of the Coca-Cola bottle, , The cap remains on the bottle despite the last person's attempt to snap it off with the lighter.""]"
29,29,0038-7,sj81PWrerDk,Multiple-choice Question with a Single Correct Answer,Professional Knowledge,"How did the last person snap off the cap so easily?
A. They used a knife to create leverage.
B. They had a knife hidden in their sleeve, which they used to cut the cap off.
C. They made a shallow cut around the bottle's mouth.
D. They were using a knife to twist and break the cap.",8.85,"E. None of the above
Select one best answer to the above multiple-choice question based on the video. Respond with only the letter (A, B, C, D or E) of the correct option.",,https://www.youtube.com/shorts/sj81PWrerDk,"```python
[
    ""What tools or objects does the last person have in the video?"",
    ""What specific action does the last person take to snap off the cap?"",
    ""Is there any visible leverage being used by the last person?"",
    ""Are there any cuts or modifications made to the bottle's cap in the video?"",
    ""What are the actions of the last person compared to the other people in the video?""
]
```","['knife, uses the knife to pry open the cap, yes, no, the last person is the only one using a tool to open the bottle, while others are using their hands.']"
30,30,0064-0,sE-KTqE9Dek,Primary Open-ended Question,Objective Causality,Why did the room go dark after the stick figure character closed the door?,12.61,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/sE-KTqE9Dek,"```python
[
    ""What is the state of the room before the stick figure character closes the door?"",
    ""What happens to the light in the room when the stick figure character closes the door?"",
    ""Are there any light sources in the room that could be affected by the door closing?"",
    ""What is the position of the stick figure character in relation to the door when it is closed?"",
    ""Is there any indication of a change in the environment or atmosphere when the door is closed?""
]
```","['The room is dark before the stick figure character closes the door, the light turns off when the stick figure character closes the door, there are no light sources in the room that could be affected by the door closing, the stick figure character is behind the door when it is closed, there is an indication of a change in the environment or atmosphere from bright to dark when the door is closed.']"
31,31,0064-1,sE-KTqE9Dek,Paraphrased Open-ended Question,Objective Causality,What caused the room to become dark after the stick figure character shut the door?,12.61,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/sE-KTqE9Dek,"```python
[
    'What is the initial lighting condition of the room before the door is shut?',
    'What happens to the light when the stick figure character shuts the door?',
    'Are there any light sources in the room that could be affected by the door being shut?',
    'Is there any indication of the door being a source of light or blocking light?',
    'What is the position of the stick figure character in relation to the door and the light sources?'
]
```","['The initial lighting condition of the room before the door is shut is dimly lit, with a single light bulb on the wall, , The light turns off when the stick figure character shuts the door, , Yes, the light bulb on the wall and the lamp on the dresser could be affected by the door being shut, , No, the door does not appear to be a source of light or blocking light, , The stick figure character is standing in front of the door, facing it, with the light sources on either side of the door.']"
32,32,0064-2,sE-KTqE9Dek,Correctly-led Open-ended Question,Objective Causality,"Did the room go dark because the stick figure character closed the door, causing the lamp to fall?",12.61,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/sE-KTqE9Dek,"```python
[
    'Is the door closed by the stick figure character?', 
    'Is the lamp positioned in a way that it could fall when the door is closed?', 
    'What is the state of the room before and after the door is closed?', 
    'Is there any indication of the lamp falling after the door is closed?', 
    'Are there any other factors in the room that could cause it to go dark?'
]
```","['No, the door is not closed by the stick figure character, , Yes, the lamp is positioned in a way that it could fall when the door is closed, , The room goes from being lit to dark when the door is closed, , No, there is no indication of the lamp falling after the door is closed, , No, there are no other factors in the room that could cause it to go dark besides the lamp falling.']"
33,33,0064-3,sE-KTqE9Dek,Wrongly-led Open-ended Question,Objective Causality,Did the room go dark because the stick figure character accidentally hit the light switch when closing the door?,12.61,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/sE-KTqE9Dek,"```python
[
    'Is the light switch visible in the scene?',
    'Is the stick figure character shown interacting with the door?',
    'Is there any indication that the stick figure character is near the light switch when closing the door?',
    'What is the state of the room before and after the door is closed?',
    'Are there any other characters or objects that could affect the lighting in the room?'
]
```","['Yes, the light switch is visible, No, the stick figure character is not shown interacting with the door, No, there is no indication that the stick figure character is near the light switch when closing the door, The room is dark before the door is closed and lit by a lamp after the door is closed, No, there are no other characters or objects that could affect the lighting in the room.']"
34,34,0064-7,sE-KTqE9Dek,Multiple-choice Question with a Single Correct Answer,Objective Causality,"Why did the room go dark after the stick figure character closed the door?
A. The lamp fell due to force.
B. The light switch was hit.
C. The stick figure character closed the door.
D. The stick figure character turned off the light switch.",12.61,"E. None of the above
Select one best answer to the above multiple-choice question based on the video. Respond with only the letter (A, B, C, D or E) of the correct option.",,https://www.youtube.com/shorts/sE-KTqE9Dek,"```python
[
    ""What happens to the room's lighting when the stick figure character closes the door?"",
    ""Is there a lamp present in the room, and does it fall when the door is closed?"",
    ""Is there a light switch in the room, and does it get hit when the door is closed?"",
    ""Does the stick figure character perform any action related to the light switch when closing the door?"",
    ""Is there any indication that the light switch was turned off by the stick figure character?"",
    ""Are there any other factors or events occurring in the video that could explain why the room went dark?""
]
```","['The room goes dark, no, no, yes, no, no, no']"
35,35,0070-0,MSkL7A2yyOY,Primary Open-ended Question,Event Counting,How many times did the person in the video pour the water?,12.97,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/MSkL7A2yyOY,"```python
[
    'How many times does the person in the video pour the water?',
    'At what moments does the person pour the water?',
    'Is there any indication of the amount of water being poured each time?',
    'Are there any interruptions or pauses between the pouring actions?'
]
```","['Two times, The person pours the water twice, No, There are no interruptions or pauses between the pouring actions.']"
36,36,0070-1,MSkL7A2yyOY,Paraphrased Open-ended Question,Event Counting,How many times does the person pour water in the video?,12.97,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/MSkL7A2yyOY,"```python
[
    'How many times does the person appear to pour water in the video?',
    'What is the context or purpose of pouring water in the video?',
    'Are there any visual indicators that show the amount of water being poured each time?',
    'Is there a clear start and end to each pouring action in the video?'
]
```","['Three times, The context appears to be a playful or humorous demonstration, No, the video does not provide clear visual indicators for the amount of water being poured each time, Yes, each pouring action has a distinct start and end.']"
37,37,0070-2,MSkL7A2yyOY,Correctly-led Open-ended Question,Event Counting,Did the person in the video pour the water twice?,12.97,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/MSkL7A2yyOY,"```python
[
    ""How many times does the person in the video pour the water?"",
    ""What is the context or situation in which the water is being poured?"",
    ""Are there any visual indicators that suggest multiple pours?"",
    ""What is the sequence of actions performed by the person regarding the water?"",
    ""Is there any visual evidence of water being poured into different containers?""
]
```","['Two times, The person is pouring water from a green teapot into a black mug on a table, There are no visual indicators suggesting multiple pours, The person first holds the teapot and then pours the water into the mug, No, there is only one container visible in the video.']"
38,38,0070-3,MSkL7A2yyOY,Wrongly-led Open-ended Question,Event Counting,Did the person in the video pour the water once?,12.97,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/MSkL7A2yyOY,"```python
[
    'Is there a scene in the video where water is being poured?',
    'How many times is water poured in the video?',
    'What is the context or situation in which the water is being poured?',
    'Are there any interruptions or pauses during the pouring of water?'
]
```","['Yes, there is a scene in the video where water is being poured, Water is poured twice in the video, The context or situation in which the water is being poured is a playful and humorous setup involving a green teapot and a black mug, There are no interruptions or pauses during the pouring of water.']"
